Source,Type,Target,Weight
agon,Undirected,sinan,5
agon,Undirected,fatime,3
agon,Undirected,abdul,4
agon,Undirected,hassan,4
agon,Undirected,saint-martin,1
agon,Undirected,ibrahim,1
agon,Undirected,nadine,1
sinan,Undirected,abdul,2
sinan,Undirected,hassan,1
sinan,Undirected,ibrahim,1
fatime,Undirected,nadine,2
fatime,Undirected,hassan,3
fatime,Undirected,abdul,1
fatime,Undirected,saint-martin,2
fatime,Undirected,ibrahim,2
fatime,Undirected,sadi,1
nadine,Undirected,hassan,1
nadine,Undirected,ibrahim,1
hassan,Undirected,abdul,1
abdul,Undirected,stenvic,1
