Source,Type,Target,Weight
toinette,Undirected,sganarelle,3
toinette,Undirected,le-medecin-de-moliere,1
toinette,Undirected,le-medecin-louis-xv,1
toinette,Undirected,le-chirurgien,1
toinette,Undirected,l-aide-major,1
toinette,Undirected,le-medecin-de-nos-jours,1
toinette,Undirected,les-medecins,1
toinette,Undirected,les-apothicaires,1
toinette,Undirected,tous-les-medecins,1
toinette,Undirected,choeur-general,1
sganarelle,Undirected,le-medecin-de-moliere,1
sganarelle,Undirected,le-medecin-louis-xv,1
sganarelle,Undirected,le-chirurgien,1
sganarelle,Undirected,l-aide-major,1
sganarelle,Undirected,le-medecin-de-nos-jours,1
sganarelle,Undirected,les-medecins,1
sganarelle,Undirected,les-apothicaires,1
sganarelle,Undirected,tous-les-medecins,1
sganarelle,Undirected,choeur-general,1
le-medecin-de-moliere,Undirected,le-medecin-louis-xv,1
le-medecin-de-moliere,Undirected,le-chirurgien,1
le-medecin-de-moliere,Undirected,l-aide-major,1
le-medecin-de-moliere,Undirected,le-medecin-de-nos-jours,1
le-medecin-de-moliere,Undirected,les-medecins,1
le-medecin-de-moliere,Undirected,les-apothicaires,1
le-medecin-de-moliere,Undirected,tous-les-medecins,1
le-medecin-de-moliere,Undirected,choeur-general,1
le-medecin-louis-xv,Undirected,le-chirurgien,1
le-medecin-louis-xv,Undirected,l-aide-major,1
le-medecin-louis-xv,Undirected,le-medecin-de-nos-jours,1
le-medecin-louis-xv,Undirected,les-medecins,1
le-medecin-louis-xv,Undirected,les-apothicaires,1
le-medecin-louis-xv,Undirected,tous-les-medecins,1
le-medecin-louis-xv,Undirected,choeur-general,1
le-chirurgien,Undirected,l-aide-major,1
le-chirurgien,Undirected,le-medecin-de-nos-jours,1
le-chirurgien,Undirected,les-medecins,1
le-chirurgien,Undirected,les-apothicaires,1
le-chirurgien,Undirected,tous-les-medecins,1
le-chirurgien,Undirected,choeur-general,1
l-aide-major,Undirected,le-medecin-de-nos-jours,1
l-aide-major,Undirected,les-medecins,1
l-aide-major,Undirected,les-apothicaires,1
l-aide-major,Undirected,tous-les-medecins,1
l-aide-major,Undirected,choeur-general,1
le-medecin-de-nos-jours,Undirected,les-medecins,1
le-medecin-de-nos-jours,Undirected,les-apothicaires,1
le-medecin-de-nos-jours,Undirected,tous-les-medecins,1
le-medecin-de-nos-jours,Undirected,choeur-general,1
les-medecins,Undirected,les-apothicaires,1
les-medecins,Undirected,tous-les-medecins,1
les-medecins,Undirected,choeur-general,1
les-apothicaires,Undirected,tous-les-medecins,1
les-apothicaires,Undirected,choeur-general,1
tous-les-medecins,Undirected,choeur-general,1
