Source,Type,Target,Weight
frisette,Undirected,magali,6
frisette,Undirected,cendrillon,4
frisette,Undirected,le-portier,2
frisette,Undirected,le-crieur,1
frisette,Undirected,le-prince-charmant,2
frisette,Undirected,le-page,1
frisette,Undirected,un-autre-page,1
frisette,Undirected,une-dame-d-honneur,1
frisette,Undirected,deuxieme-dame-d-honneur,1
frisette,Undirected,troisieme-dame-d-honneur,1
frisette,Undirected,la-fee-urgele,1
magali,Undirected,cendrillon,4
magali,Undirected,le-portier,2
magali,Undirected,le-crieur,1
magali,Undirected,le-prince-charmant,2
magali,Undirected,le-page,1
magali,Undirected,un-autre-page,1
magali,Undirected,une-dame-d-honneur,1
magali,Undirected,deuxieme-dame-d-honneur,1
magali,Undirected,troisieme-dame-d-honneur,1
magali,Undirected,la-fee-urgele,1
cendrillon,Undirected,le-portier,3
cendrillon,Undirected,la-fee-urgele,4
cendrillon,Undirected,le-crieur,1
cendrillon,Undirected,le-prince-charmant,2
cendrillon,Undirected,le-page,1
cendrillon,Undirected,un-autre-page,1
cendrillon,Undirected,une-dame-d-honneur,1
cendrillon,Undirected,deuxieme-dame-d-honneur,1
cendrillon,Undirected,troisieme-dame-d-honneur,1
le-portier,Undirected,la-fee-urgele,4
le-portier,Undirected,le-prince-charmant,1
la-fee-urgele,Undirected,le-prince-charmant,1
le-crieur,Undirected,le-prince-charmant,1
le-crieur,Undirected,le-page,1
le-crieur,Undirected,un-autre-page,1
le-crieur,Undirected,une-dame-d-honneur,1
le-crieur,Undirected,deuxieme-dame-d-honneur,1
le-crieur,Undirected,troisieme-dame-d-honneur,1
le-prince-charmant,Undirected,le-page,1
le-prince-charmant,Undirected,un-autre-page,1
le-prince-charmant,Undirected,une-dame-d-honneur,1
le-prince-charmant,Undirected,deuxieme-dame-d-honneur,1
le-prince-charmant,Undirected,troisieme-dame-d-honneur,1
le-page,Undirected,un-autre-page,1
le-page,Undirected,une-dame-d-honneur,1
le-page,Undirected,deuxieme-dame-d-honneur,1
le-page,Undirected,troisieme-dame-d-honneur,1
un-autre-page,Undirected,une-dame-d-honneur,1
un-autre-page,Undirected,deuxieme-dame-d-honneur,1
un-autre-page,Undirected,troisieme-dame-d-honneur,1
une-dame-d-honneur,Undirected,deuxieme-dame-d-honneur,1
une-dame-d-honneur,Undirected,troisieme-dame-d-honneur,1
deuxieme-dame-d-honneur,Undirected,troisieme-dame-d-honneur,1
