Source,Type,Target,Weight
moliere,Undirected,madame-moliere,2
moliere,Undirected,laforet,3
moliere,Undirected,le-bijoutier,1
moliere,Undirected,la-modiste,1
moliere,Undirected,nanon,1
moliere,Undirected,drapelard,1
moliere,Undirected,bouillot,1
moliere,Undirected,boileau,3
madame-moliere,Undirected,boileau,1
laforet,Undirected,drapelard,1
laforet,Undirected,caramelli,1
laforet,Undirected,dufour,1
laforet,Undirected,pantouffle,1
laforet,Undirected,le-marchand-de-ceruse,1
laforet,Undirected,le-comte-doctius,1
laforet,Undirected,le-marquis-apricus,1
laforet,Undirected,paul-bouillot,1
laforet,Undirected,bouillot,1
nanon,Undirected,drapelard,1
nanon,Undirected,bouillot,1
drapelard,Undirected,bouillot,2
drapelard,Undirected,caramelli,1
drapelard,Undirected,dufour,1
drapelard,Undirected,pantouffle,1
drapelard,Undirected,le-marchand-de-ceruse,1
drapelard,Undirected,le-comte-doctius,1
drapelard,Undirected,le-marquis-apricus,1
drapelard,Undirected,paul-bouillot,1
bouillot,Undirected,caramelli,1
bouillot,Undirected,dufour,1
bouillot,Undirected,pantouffle,1
bouillot,Undirected,le-marchand-de-ceruse,1
bouillot,Undirected,le-comte-doctius,1
bouillot,Undirected,le-marquis-apricus,1
bouillot,Undirected,paul-bouillot,1
caramelli,Undirected,dufour,1
caramelli,Undirected,pantouffle,1
caramelli,Undirected,le-marchand-de-ceruse,1
caramelli,Undirected,le-comte-doctius,1
caramelli,Undirected,le-marquis-apricus,1
caramelli,Undirected,paul-bouillot,1
dufour,Undirected,pantouffle,1
dufour,Undirected,le-marchand-de-ceruse,1
dufour,Undirected,le-comte-doctius,1
dufour,Undirected,le-marquis-apricus,1
dufour,Undirected,paul-bouillot,1
pantouffle,Undirected,le-marchand-de-ceruse,1
pantouffle,Undirected,le-comte-doctius,1
pantouffle,Undirected,le-marquis-apricus,1
pantouffle,Undirected,paul-bouillot,1
le-marchand-de-ceruse,Undirected,le-comte-doctius,1
le-marchand-de-ceruse,Undirected,le-marquis-apricus,1
le-marchand-de-ceruse,Undirected,paul-bouillot,1
le-comte-doctius,Undirected,le-marquis-apricus,1
le-comte-doctius,Undirected,paul-bouillot,1
le-marquis-apricus,Undirected,paul-bouillot,1
