Source,Type,Target,Weight
monsieur-de-mont-meny,Undirected,la-ville,1
monsieur-de-mont-meny,Undirected,la-folie,1
monsieur-de-mont-meny,Undirected,monsieur-poisson,1
monsieur-de-mont-meny,Undirected,madame-dangeville,1
monsieur-de-mont-meny,Undirected,monsieur-de-la-thorilliere,1
monsieur-de-mont-meny,Undirected,mademoiselle-grandval,1
monsieur-de-mont-meny,Undirected,monsieur-fierville,1
monsieur-de-mont-meny,Undirected,monsieur-fleury,1
monsieur-de-mont-meny,Undirected,le-petit-garçon,1
monsieur-de-mont-meny,Undirected,la-petite-fille,1
la-ville,Undirected,la-folie,2
la-folie,Undirected,monsieur-poisson,1
la-folie,Undirected,madame-dangeville,1
la-folie,Undirected,monsieur-de-la-thorilliere,1
la-folie,Undirected,mademoiselle-grandval,1
la-folie,Undirected,monsieur-fierville,1
la-folie,Undirected,monsieur-fleury,1
la-folie,Undirected,le-petit-garçon,1
la-folie,Undirected,la-petite-fille,1
monsieur-poisson,Undirected,madame-dangeville,1
monsieur-poisson,Undirected,monsieur-de-la-thorilliere,1
monsieur-poisson,Undirected,mademoiselle-grandval,1
monsieur-poisson,Undirected,monsieur-fierville,1
monsieur-poisson,Undirected,monsieur-fleury,1
monsieur-poisson,Undirected,le-petit-garçon,2
monsieur-poisson,Undirected,la-petite-fille,2
monsieur-poisson,Undirected,un-autre,2
monsieur-poisson,Undirected,mademoiselle-dangeville,1
madame-dangeville,Undirected,monsieur-de-la-thorilliere,1
madame-dangeville,Undirected,mademoiselle-grandval,1
madame-dangeville,Undirected,monsieur-fierville,1
madame-dangeville,Undirected,monsieur-fleury,1
madame-dangeville,Undirected,le-petit-garçon,1
madame-dangeville,Undirected,la-petite-fille,1
monsieur-de-la-thorilliere,Undirected,mademoiselle-grandval,1
monsieur-de-la-thorilliere,Undirected,monsieur-fierville,1
monsieur-de-la-thorilliere,Undirected,monsieur-fleury,1
monsieur-de-la-thorilliere,Undirected,le-petit-garçon,1
monsieur-de-la-thorilliere,Undirected,la-petite-fille,1
mademoiselle-grandval,Undirected,monsieur-fierville,1
mademoiselle-grandval,Undirected,monsieur-fleury,1
mademoiselle-grandval,Undirected,le-petit-garçon,1
mademoiselle-grandval,Undirected,la-petite-fille,1
monsieur-fierville,Undirected,monsieur-fleury,1
monsieur-fierville,Undirected,le-petit-garçon,1
monsieur-fierville,Undirected,la-petite-fille,1
monsieur-fleury,Undirected,le-petit-garçon,1
monsieur-fleury,Undirected,la-petite-fille,1
le-petit-garçon,Undirected,la-petite-fille,2
le-petit-garçon,Undirected,un-autre,1
le-petit-garçon,Undirected,mademoiselle-dangeville,1
la-petite-fille,Undirected,un-autre,1
la-petite-fille,Undirected,mademoiselle-dangeville,1
lucas,Undirected,lisette,10
lucas,Undirected,dorante,3
lucas,Undirected,lucile,8
lucas,Undirected,monsieur-mondor,3
lucas,Undirected,madame-mondor,3
lucas,Undirected,le-marquis,3
lucas,Undirected,l-elu,2
lisette,Undirected,dorante,4
lisette,Undirected,monsieur-mondor,4
lisette,Undirected,madame-mondor,4
lisette,Undirected,lucile,9
lisette,Undirected,le-marquis,3
lisette,Undirected,l-elu,2
dorante,Undirected,lucile,2
dorante,Undirected,monsieur-mondor,2
dorante,Undirected,madame-mondor,2
dorante,Undirected,le-marquis,1
dorante,Undirected,l-elu,1
monsieur-mondor,Undirected,madame-mondor,5
monsieur-mondor,Undirected,lucile,3
monsieur-mondor,Undirected,le-marquis,1
monsieur-mondor,Undirected,l-elu,1
madame-mondor,Undirected,lucile,3
madame-mondor,Undirected,le-marquis,1
madame-mondor,Undirected,l-elu,1
lucile,Undirected,le-marquis,3
lucile,Undirected,l-elu,2
le-marquis,Undirected,l-elu,2
doris,Undirected,menelas,2
menelas,Undirected,leda,1
un-autre,Undirected,mademoiselle-dangeville,1
