Source,Type,Target,Weight
atabalipa,Undirected,mahomet,1
atabalipa,Undirected,le-grand-turc,1
atabalipa,Undirected,pour-les-eunuques,1
atabalipa,Undirected,le-baillif-de-groënland,1
atabalipa,Undirected,le-baillis-de-frisland,1
atabalipa,Undirected,le-grand-cacique,1
atabalipa,Undirected,le-grand-cam,1
atabalipa,Undirected,les-grenadins,1
atabalipa,Undirected,un-grenadin,1
mahomet,Undirected,le-grand-turc,1
mahomet,Undirected,pour-les-eunuques,1
mahomet,Undirected,le-baillif-de-groënland,1
mahomet,Undirected,le-baillis-de-frisland,1
mahomet,Undirected,le-grand-cacique,1
mahomet,Undirected,le-grand-cam,1
mahomet,Undirected,les-grenadins,1
mahomet,Undirected,un-grenadin,1
le-grand-turc,Undirected,pour-les-eunuques,1
le-grand-turc,Undirected,le-baillif-de-groënland,1
le-grand-turc,Undirected,le-baillis-de-frisland,1
le-grand-turc,Undirected,le-grand-cacique,1
le-grand-turc,Undirected,le-grand-cam,1
le-grand-turc,Undirected,les-grenadins,1
le-grand-turc,Undirected,un-grenadin,1
pour-les-eunuques,Undirected,le-baillif-de-groënland,1
pour-les-eunuques,Undirected,le-baillis-de-frisland,1
pour-les-eunuques,Undirected,le-grand-cacique,1
pour-les-eunuques,Undirected,le-grand-cam,1
pour-les-eunuques,Undirected,les-grenadins,1
pour-les-eunuques,Undirected,un-grenadin,1
le-baillif-de-groënland,Undirected,le-baillis-de-frisland,1
le-baillif-de-groënland,Undirected,le-grand-cacique,1
le-baillif-de-groënland,Undirected,le-grand-cam,1
le-baillif-de-groënland,Undirected,les-grenadins,1
le-baillif-de-groënland,Undirected,un-grenadin,1
le-baillis-de-frisland,Undirected,le-grand-cacique,1
le-baillis-de-frisland,Undirected,le-grand-cam,1
le-baillis-de-frisland,Undirected,les-grenadins,1
le-baillis-de-frisland,Undirected,un-grenadin,1
le-grand-cacique,Undirected,le-grand-cam,1
le-grand-cacique,Undirected,les-grenadins,1
le-grand-cacique,Undirected,un-grenadin,1
le-grand-cam,Undirected,les-grenadins,1
le-grand-cam,Undirected,un-grenadin,1
les-grenadins,Undirected,un-grenadin,1
la-douairiere,Undirected,le-fanfan,1
