Source,Type,Target,Weight
leon,Undirected,roger,6
leon,Undirected,charles,6
leon,Undirected,bradamante,3
leon,Undirected,marphise,4
leon,Undirected,aymon,5
leon,Undirected,renaud,5
leon,Undirected,zenon,1
leon,Undirected,ambassadeurs,1
roger,Undirected,marphise,3
roger,Undirected,zenon,1
roger,Undirected,charles,4
roger,Undirected,naymes,1
roger,Undirected,aymon,4
roger,Undirected,renaud,4
roger,Undirected,bradamante,2
roger,Undirected,ambassadeurs,1
bradamante,Undirected,hipalque,2
bradamante,Undirected,charles,4
bradamante,Undirected,marphise,7
bradamante,Undirected,aymon,5
bradamante,Undirected,renaud,6
bradamante,Undirected,zenon,1
bradamante,Undirected,naymes,1
charles,Undirected,aymon,9
charles,Undirected,renaud,8
charles,Undirected,marphise,6
charles,Undirected,naymes,2
charles,Undirected,zenon,1
charles,Undirected,ambassadeurs,1
aymon,Undirected,renaud,9
aymon,Undirected,marphise,6
aymon,Undirected,naymes,2
aymon,Undirected,zenon,1
aymon,Undirected,ambassadeurs,1
renaud,Undirected,marphise,6
renaud,Undirected,naymes,2
renaud,Undirected,zenon,1
renaud,Undirected,ambassadeurs,1
marphise,Undirected,zenon,1
marphise,Undirected,naymes,1
naymes,Undirected,zenon,1
