Source,Type,Target,Weight
acanthe,Undirected,erato,1
acanthe,Undirected,uranie,1
acanthe,Undirected,apollon,1
acanthe,Undirected,polymnie,1
acanthe,Undirected,euterpe,1
acanthe,Undirected,terpsichore,1
acanthe,Undirected,melpomene,1
acanthe,Undirected,thalie,1
acanthe,Undirected,climene,1
acanthe,Undirected,clio,1
acanthe,Undirected,calliope,1
erato,Undirected,uranie,1
erato,Undirected,apollon,1
erato,Undirected,polymnie,1
erato,Undirected,euterpe,1
erato,Undirected,terpsichore,1
erato,Undirected,melpomene,1
erato,Undirected,thalie,1
erato,Undirected,climene,1
erato,Undirected,clio,1
erato,Undirected,calliope,1
uranie,Undirected,apollon,1
uranie,Undirected,polymnie,1
uranie,Undirected,euterpe,1
uranie,Undirected,terpsichore,1
uranie,Undirected,melpomene,1
uranie,Undirected,thalie,1
uranie,Undirected,climene,1
uranie,Undirected,clio,1
uranie,Undirected,calliope,1
apollon,Undirected,polymnie,1
apollon,Undirected,euterpe,1
apollon,Undirected,terpsichore,1
apollon,Undirected,melpomene,1
apollon,Undirected,thalie,1
apollon,Undirected,climene,1
apollon,Undirected,clio,1
apollon,Undirected,calliope,1
polymnie,Undirected,euterpe,1
polymnie,Undirected,terpsichore,1
polymnie,Undirected,melpomene,1
polymnie,Undirected,thalie,1
polymnie,Undirected,climene,1
polymnie,Undirected,clio,1
polymnie,Undirected,calliope,1
euterpe,Undirected,terpsichore,1
euterpe,Undirected,melpomene,1
euterpe,Undirected,thalie,1
euterpe,Undirected,climene,1
euterpe,Undirected,clio,1
euterpe,Undirected,calliope,1
terpsichore,Undirected,melpomene,1
terpsichore,Undirected,thalie,1
terpsichore,Undirected,climene,1
terpsichore,Undirected,clio,1
terpsichore,Undirected,calliope,1
melpomene,Undirected,thalie,1
melpomene,Undirected,climene,1
melpomene,Undirected,clio,1
melpomene,Undirected,calliope,1
thalie,Undirected,climene,1
thalie,Undirected,clio,1
thalie,Undirected,calliope,1
climene,Undirected,clio,1
climene,Undirected,calliope,1
clio,Undirected,calliope,1
