Source,Type,Target,Weight
jupiter,Undirected,venus,1
jupiter,Undirected,minerve,1
jupiter,Undirected,momus,1
jupiter,Undirected,promethee,1
jupiter,Undirected,les-dieux,1
jupiter,Undirected,amour,1
jupiter,Undirected,choeur-des-dieux,1
jupiter,Undirected,choeur,1
jupiter,Undirected,l-amour,1
venus,Undirected,minerve,1
venus,Undirected,momus,1
venus,Undirected,promethee,1
venus,Undirected,les-dieux,1
venus,Undirected,amour,2
venus,Undirected,choeur-des-dieux,1
venus,Undirected,choeur,1
venus,Undirected,l-amour,1
minerve,Undirected,momus,1
minerve,Undirected,promethee,1
minerve,Undirected,les-dieux,1
minerve,Undirected,amour,1
minerve,Undirected,choeur-des-dieux,1
minerve,Undirected,choeur,1
minerve,Undirected,l-amour,1
momus,Undirected,promethee,1
momus,Undirected,les-dieux,1
momus,Undirected,amour,1
momus,Undirected,choeur-des-dieux,1
momus,Undirected,choeur,1
momus,Undirected,l-amour,1
momus,Undirected,apollon,2
momus,Undirected,tous,2
momus,Undirected,deux-bergers,1
momus,Undirected,le-sacrificateur,1
momus,Undirected,le-choeur,1
momus,Undirected,meroe,1
momus,Undirected,penee,1
momus,Undirected,un-chasseur,1
momus,Undirected,un-sylvain,1
momus,Undirected,un-berger,1
momus,Undirected,tous-ensemble,1
momus,Undirected,bacchus,1
promethee,Undirected,les-dieux,1
promethee,Undirected,amour,1
promethee,Undirected,choeur-des-dieux,1
promethee,Undirected,choeur,1
promethee,Undirected,l-amour,1
les-dieux,Undirected,amour,1
les-dieux,Undirected,choeur-des-dieux,1
les-dieux,Undirected,choeur,1
les-dieux,Undirected,l-amour,1
amour,Undirected,choeur-des-dieux,1
amour,Undirected,choeur,2
amour,Undirected,l-amour,1
amour,Undirected,apollon,1
amour,Undirected,un-poete-heroïque,1
amour,Undirected,melpomene,1
amour,Undirected,philis,1
amour,Undirected,daphnis,1
amour,Undirected,un-poete-satirique,1
amour,Undirected,thalie,1
amour,Undirected,le-mechant-poete,1
amour,Undirected,mercure,1
amour,Undirected,une-muse-lyrique,1
amour,Undirected,autre-muse-lyrique,1
amour,Undirected,le-choeur,1
choeur-des-dieux,Undirected,choeur,1
choeur-des-dieux,Undirected,l-amour,1
choeur,Undirected,l-amour,1
choeur,Undirected,penee,1
choeur,Undirected,ismele,1
choeur,Undirected,amphrise,1
choeur,Undirected,apidame,1
choeur,Undirected,sperchee,1
choeur,Undirected,daphne,1
choeur,Undirected,apollon,1
choeur,Undirected,un-poete-heroïque,1
choeur,Undirected,melpomene,1
choeur,Undirected,philis,1
choeur,Undirected,daphnis,1
choeur,Undirected,un-poete-satirique,1
choeur,Undirected,thalie,1
choeur,Undirected,le-mechant-poete,1
choeur,Undirected,mercure,1
choeur,Undirected,une-muse-lyrique,1
choeur,Undirected,autre-muse-lyrique,1
choeur,Undirected,le-choeur,1
chloris,Undirected,aminte,2
chloris,Undirected,nymphes,1
chloris,Undirected,daphne,1
chloris,Undirected,choeur-de-bergers,1
chloris,Undirected,meroe,1
chloris,Undirected,clymene,1
aminte,Undirected,nymphes,1
