Source,Type,Target,Weight
lisette,Undirected,turlupin,4
lisette,Undirected,clidamant,4
lisette,Undirected,uranie,4
lisette,Undirected,le-marquis,3
lisette,Undirected,cleonice,3
lisette,Undirected,un-laquais,1
lisette,Undirected,polixene,2
lisette,Undirected,valere,1
turlupin,Undirected,clidamant,4
turlupin,Undirected,uranie,3
turlupin,Undirected,le-marquis,2
turlupin,Undirected,cleonice,2
turlupin,Undirected,un-laquais,1
turlupin,Undirected,polixene,1
turlupin,Undirected,valere,1
clidamant,Undirected,le-marquis,3
clidamant,Undirected,uranie,3
clidamant,Undirected,cleonice,3
clidamant,Undirected,un-laquais,1
clidamant,Undirected,polixene,1
clidamant,Undirected,valere,1
le-marquis,Undirected,uranie,3
le-marquis,Undirected,cleonice,2
le-marquis,Undirected,un-laquais,1
le-marquis,Undirected,polixene,2
uranie,Undirected,cleonice,3
uranie,Undirected,un-laquais,1
uranie,Undirected,polixene,2
uranie,Undirected,valere,1
cleonice,Undirected,un-laquais,1
cleonice,Undirected,polixene,1
cleonice,Undirected,valere,1
