Source,Type,Target,Weight
ortalque,Undirected,alinde,2
ortalque,Undirected,arcade,3
ortalque,Undirected,evandre,9
ortalque,Undirected,phocas,3
ortalque,Undirected,perside,2
ortalque,Undirected,chrysane,2
ortalque,Undirected,isaspe,3
ortalque,Undirected,iris,2
ortalque,Undirected,phenix,2
ortalque,Undirected,leontin,1
alinde,Undirected,arcade,3
alinde,Undirected,canope,1
alinde,Undirected,isaspe,5
alinde,Undirected,leontin,2
alinde,Undirected,phenix,3
alinde,Undirected,chrysane,3
alinde,Undirected,evandre,1
alinde,Undirected,iris,1
arcade,Undirected,perside,1
arcade,Undirected,canope,1
arcade,Undirected,iris,3
arcade,Undirected,evandre,4
arcade,Undirected,phenix,3
arcade,Undirected,isaspe,2
arcade,Undirected,leontin,2
arcade,Undirected,chrysane,1
evandre,Undirected,phocas,2
evandre,Undirected,iris,1
evandre,Undirected,phenix,3
evandre,Undirected,leontin,1
evandre,Undirected,isaspe,1
evandre,Undirected,chrysane,1
phocas,Undirected,perside,1
phocas,Undirected,chrysane,1
canope,Undirected,iris,2
canope,Undirected,perside,2
canope,Undirected,isaspe,2
iris,Undirected,perside,1
iris,Undirected,phenix,1
iris,Undirected,chrysane,1
iris,Undirected,isaspe,1
perside,Undirected,isaspe,4
perside,Undirected,chrysane,5
isaspe,Undirected,chrysane,6
isaspe,Undirected,leontin,2
isaspe,Undirected,phenix,3
chrysane,Undirected,phenix,2
chrysane,Undirected,leontin,1
phenix,Undirected,leontin,2
