Source,Type,Target,Weight
jupiter,Undirected,venus,2
jupiter,Undirected,le-choeur,2
jupiter,Undirected,choeur,2
jupiter,Undirected,momus,3
jupiter,Undirected,choeur-des-deesses,1
jupiter,Undirected,mercure,2
jupiter,Undirected,le-choeur-des-dieux,1
jupiter,Undirected,bacchus,1
jupiter,Undirected,la-folie,1
jupiter,Undirected,le-carnaval,1
venus,Undirected,le-choeur,2
venus,Undirected,choeur,2
venus,Undirected,momus,2
venus,Undirected,choeur-des-deesses,1
venus,Undirected,bacchus,1
venus,Undirected,mercure,1
venus,Undirected,la-folie,1
venus,Undirected,le-carnaval,1
le-choeur,Undirected,choeur,4
le-choeur,Undirected,momus,2
le-choeur,Undirected,choeur-des-deesses,1
le-choeur,Undirected,la-folie,3
le-choeur,Undirected,le-chef-des-matelots,1
le-choeur,Undirected,le-lethe,1
le-choeur,Undirected,choeur-des-suivantes-de-la-folie,1
le-choeur,Undirected,le-professeur-de-folie,1
le-choeur,Undirected,choeur-de-la-suite-de-la-folie,1
le-choeur,Undirected,le-poete,1
le-choeur,Undirected,le-musicien,1
le-choeur,Undirected,bacchus,1
le-choeur,Undirected,mercure,1
le-choeur,Undirected,le-carnaval,1
choeur,Undirected,momus,2
choeur,Undirected,choeur-des-deesses,1
choeur,Undirected,la-folie,5
choeur,Undirected,plutus,1
choeur,Undirected,la-jeunesse,1
choeur,Undirected,le-carnaval,3
choeur,Undirected,le-lethe,2
choeur,Undirected,le-chef-des-matelots,1
choeur,Undirected,choeur-des-suivantes-de-la-folie,1
choeur,Undirected,le-professeur-de-folie,1
choeur,Undirected,choeur-de-la-suite-de-la-folie,1
choeur,Undirected,le-poete,1
choeur,Undirected,le-musicien,1
choeur,Undirected,bacchus,1
choeur,Undirected,mercure,1
momus,Undirected,choeur-des-deesses,1
momus,Undirected,mercure,2
momus,Undirected,le-choeur-des-dieux,1
momus,Undirected,le-carnaval,5
momus,Undirected,la-folie,4
momus,Undirected,bacchus,1
mercure,Undirected,le-choeur-des-dieux,1
mercure,Undirected,bacchus,1
mercure,Undirected,la-folie,1
mercure,Undirected,le-carnaval,1
le-carnaval,Undirected,la-folie,7
le-carnaval,Undirected,plutus,2
le-carnaval,Undirected,la-jeunesse,2
le-carnaval,Undirected,le-lethe,1
le-carnaval,Undirected,bacchus,1
plutus,Undirected,la-jeunesse,3
plutus,Undirected,la-folie,2
la-jeunesse,Undirected,la-folie,2
la-folie,Undirected,le-lethe,2
la-folie,Undirected,le-chef-des-matelots,1
la-folie,Undirected,choeur-des-suivantes-de-la-folie,1
la-folie,Undirected,le-professeur-de-folie,1
la-folie,Undirected,choeur-de-la-suite-de-la-folie,1
la-folie,Undirected,le-poete,1
la-folie,Undirected,le-musicien,1
la-folie,Undirected,bacchus,1
le-lethe,Undirected,le-chef-des-matelots,1
choeur-des-suivantes-de-la-folie,Undirected,le-professeur-de-folie,1
choeur-des-suivantes-de-la-folie,Undirected,choeur-de-la-suite-de-la-folie,1
choeur-des-suivantes-de-la-folie,Undirected,le-poete,1
choeur-des-suivantes-de-la-folie,Undirected,le-musicien,1
le-professeur-de-folie,Undirected,choeur-de-la-suite-de-la-folie,1
le-professeur-de-folie,Undirected,le-poete,1
le-professeur-de-folie,Undirected,le-musicien,1
choeur-de-la-suite-de-la-folie,Undirected,le-poete,1
choeur-de-la-suite-de-la-folie,Undirected,le-musicien,1
le-poete,Undirected,le-musicien,1
