Source,Type,Target,Weight
jocaste,Undirected,antigone,8
jocaste,Undirected,eteocle,6
jocaste,Undirected,polinice,4
jocaste,Undirected,hemon,2
jocaste,Undirected,oedipe,3
jocaste,Undirected,acaste,1
antigone,Undirected,eteocle,2
antigone,Undirected,polinice,2
antigone,Undirected,oedipe,3
antigone,Undirected,acaste,1
eteocle,Undirected,polinice,5
eteocle,Undirected,hemon,1
eteocle,Undirected,oedipe,2
hemon,Undirected,polinice,3
hemon,Undirected,oedipe,1
polinice,Undirected,oedipe,2
oedipe,Undirected,acaste,1
