Source,Type,Target,Weight
asmodee,Undirected,dom-cleofas,1
marine,Undirected,la-baronne,7
marine,Undirected,frontin,2
marine,Undirected,flamand,1
marine,Undirected,monsieur-turcaret,1
marine,Undirected,le-chevalier,1
la-baronne,Undirected,frontin,10
la-baronne,Undirected,flamand,3
la-baronne,Undirected,monsieur-turcaret,10
la-baronne,Undirected,le-chevalier,10
la-baronne,Undirected,lisette,15
la-baronne,Undirected,le-marquis,7
la-baronne,Undirected,monsieur-furet,1
la-baronne,Undirected,jasmin,2
la-baronne,Undirected,madame-jacob,3
la-baronne,Undirected,madame-turcaret,5
frontin,Undirected,le-chevalier,10
frontin,Undirected,monsieur-turcaret,3
frontin,Undirected,lisette,7
frontin,Undirected,monsieur-furet,1
frontin,Undirected,madame-jacob,1
frontin,Undirected,madame-turcaret,1
frontin,Undirected,le-marquis,2
flamand,Undirected,monsieur-turcaret,1
flamand,Undirected,lisette,1
monsieur-turcaret,Undirected,lisette,5
monsieur-turcaret,Undirected,le-marquis,2
monsieur-turcaret,Undirected,monsieur-rafle,1
monsieur-turcaret,Undirected,le-chevalier,2
monsieur-turcaret,Undirected,monsieur-furet,1
monsieur-turcaret,Undirected,madame-jacob,1
monsieur-turcaret,Undirected,madame-turcaret,2
monsieur-turcaret,Undirected,jasmin,1
le-chevalier,Undirected,lisette,4
le-chevalier,Undirected,le-marquis,7
le-chevalier,Undirected,madame-turcaret,5
le-chevalier,Undirected,madame-jacob,3
lisette,Undirected,monsieur-furet,1
lisette,Undirected,madame-jacob,3
lisette,Undirected,jasmin,1
lisette,Undirected,le-marquis,4
lisette,Undirected,madame-turcaret,3
le-marquis,Undirected,madame-turcaret,5
le-marquis,Undirected,madame-jacob,2
jasmin,Undirected,madame-turcaret,1
madame-jacob,Undirected,madame-turcaret,3
