Source,Type,Target,Weight
dorize,Undirected,roxalie,1
roxalie,Undirected,themir,3
roxalie,Undirected,tamerlan,2
roxalie,Undirected,orcazie,4
roxalie,Undirected,indarthize,3
themir,Undirected,indarthize,4
themir,Undirected,tamerlan,5
themir,Undirected,orcazie,3
themir,Undirected,le-soldat,1
themir,Undirected,bajazet,1
themir,Undirected,selim,1
themir,Undirected,zilim,1
indarthize,Undirected,tamerlan,3
indarthize,Undirected,orcazie,4
tamerlan,Undirected,bajazet,4
tamerlan,Undirected,zilim,2
tamerlan,Undirected,selim,3
tamerlan,Undirected,orcazie,6
tamerlan,Undirected,mansor,1
bajazet,Undirected,selim,5
bajazet,Undirected,zilim,6
bajazet,Undirected,orcazie,4
bajazet,Undirected,un-garde,1
selim,Undirected,zilim,4
selim,Undirected,orcazie,1
zilim,Undirected,orcazie,1
