Source,Type,Target,Weight
le-vieillard,Undirected,plusieurs-sans-culottes,1
le-vieillard,Undirected,le-sans-culotte-français,1
le-vieillard,Undirected,un-sans-culotte,1
le-vieillard,Undirected,le-sans-culotte-allemand,1
le-vieillard,Undirected,le-sans-culotte-anglais,1
le-sans-culotte-français,Undirected,le-sans-culotte-anglais,3
le-sans-culotte-français,Undirected,le-sans-culotte-espagnol,2
le-sans-culotte-français,Undirected,le-sans-culotte-sarde,2
le-sans-culotte-français,Undirected,plusieurs-sans-culottes,2
le-sans-culotte-français,Undirected,le-sans-culotte-allemand,3
le-sans-culotte-français,Undirected,un-sans-culotte,2
le-sans-culotte-français,Undirected,l-empereur,1
le-sans-culotte-français,Undirected,le-roi-d-angleterre,1
le-sans-culotte-français,Undirected,le-sans-culotte-prussien,1
le-sans-culotte-français,Undirected,le-roi-de-prusse,1
le-sans-culotte-français,Undirected,le-roi-d-espagne,1
le-sans-culotte-français,Undirected,le-sans-culotte-napolitain,1
le-sans-culotte-français,Undirected,le-roi-de-naples,1
le-sans-culotte-français,Undirected,le-roi-de-sardaigne,1
le-sans-culotte-français,Undirected,le-sans-culotte-russe,1
le-sans-culotte-français,Undirected,le-sans-culotte-polonais,1
le-sans-culotte-français,Undirected,le-sans-culotte-romain,1
le-sans-culotte-français,Undirected,le-pape,1
le-sans-culotte-français,Undirected,les-sans-culottes,1
le-sans-culotte-anglais,Undirected,le-sans-culotte-espagnol,2
le-sans-culotte-anglais,Undirected,le-sans-culotte-sarde,2
le-sans-culotte-anglais,Undirected,plusieurs-sans-culottes,2
le-sans-culotte-anglais,Undirected,le-sans-culotte-allemand,3
le-sans-culotte-anglais,Undirected,un-sans-culotte,2
le-sans-culotte-anglais,Undirected,l-empereur,1
le-sans-culotte-anglais,Undirected,le-roi-d-angleterre,1
le-sans-culotte-anglais,Undirected,le-sans-culotte-prussien,1
le-sans-culotte-anglais,Undirected,le-roi-de-prusse,1
le-sans-culotte-anglais,Undirected,le-roi-d-espagne,1
le-sans-culotte-anglais,Undirected,le-sans-culotte-napolitain,1
