Source,Type,Target,Weight
calander,Undirected,lyzidor,3
calander,Undirected,pyrocle,2
calander,Undirected,pamele,2
calander,Undirected,phyloclee,2
calander,Undirected,bazyle,2
calander,Undirected,courrier,1
calander,Undirected,gynecie,2
calander,Undirected,dametas,1
lyzidor,Undirected,pyrocle,3
lyzidor,Undirected,zelmane,2
lyzidor,Undirected,amphyale,1
lyzidor,Undirected,soldats,1
lyzidor,Undirected,phyloclee,3
lyzidor,Undirected,pamele,3
lyzidor,Undirected,bazyle,3
lyzidor,Undirected,courrier,1
lyzidor,Undirected,gynecie,2
lyzidor,Undirected,dametas,1
pyrocle,Undirected,dametas,3
pyrocle,Undirected,bazyle,4
pyrocle,Undirected,gynecie,2
pyrocle,Undirected,phyloclee,3
pyrocle,Undirected,pamele,2
pyrocle,Undirected,courrier,1
bazyle,Undirected,dametas,5
bazyle,Undirected,pamele,5
bazyle,Undirected,gynecie,6
bazyle,Undirected,phyloclee,4
bazyle,Undirected,zelmane,2
bazyle,Undirected,lycas,1
bazyle,Undirected,courrier,1
dametas,Undirected,pamele,5
dametas,Undirected,gynecie,4
dametas,Undirected,phyloclee,4
dametas,Undirected,zelmane,2
dametas,Undirected,lycas,2
pamele,Undirected,gynecie,6
pamele,Undirected,phyloclee,11
pamele,Undirected,zelmane,6
pamele,Undirected,lycas,3
pamele,Undirected,soldats,1
pamele,Undirected,le-prevot,1
pamele,Undirected,courrier,1
gynecie,Undirected,phyloclee,6
gynecie,Undirected,zelmane,5
gynecie,Undirected,lycas,2
gynecie,Undirected,courrier,1
phyloclee,Undirected,zelmane,8
phyloclee,Undirected,lycas,3
phyloclee,Undirected,soldats,1
phyloclee,Undirected,cecropie,1
phyloclee,Undirected,le-prevot,1
phyloclee,Undirected,courrier,1
zelmane,Undirected,lycas,3
zelmane,Undirected,soldats,1
zelmane,Undirected,le-prevot,1
amphyale,Undirected,cecropie,3
amphyale,Undirected,soldats,1
