Source,Type,Target,Weight
aristandre,Undirected,adraste,3
aristandre,Undirected,camille,3
aristandre,Undirected,cloriande,2
aristandre,Undirected,roseline,2
aristandre,Undirected,coryleon,1
aristandre,Undirected,le-page,2
aristandre,Undirected,le-turc,2
aristandre,Undirected,gylas,3
aristandre,Undirected,vachles,1
aristandre,Undirected,le-soldat,1
aristandre,Undirected,citoyen-i,1
aristandre,Undirected,citoyen-ii,1
aristandre,Undirected,citoyen,1
aristandre,Undirected,autre-citoyen,1
adraste,Undirected,camille,2
camille,Undirected,mironte,1
camille,Undirected,citoyen-i,1
camille,Undirected,citoyen-ii,1
camille,Undirected,gylas,1
camille,Undirected,citoyen,1
camille,Undirected,autre-citoyen,1
roseline,Undirected,cloriande,1
cloriande,Undirected,coryleon,4
cloriande,Undirected,vachles,1
coryleon,Undirected,vachles,1
vachles,Undirected,gylas,1
vachles,Undirected,le-turc,1
vachles,Undirected,le-soldat,1
vachles,Undirected,le-page,1
le-page,Undirected,le-turc,2
le-page,Undirected,gylas,2
le-page,Undirected,le-soldat,1
le-turc,Undirected,gylas,2
le-turc,Undirected,le-soldat,1
gylas,Undirected,le-soldat,1
gylas,Undirected,citoyen-i,1
gylas,Undirected,citoyen-ii,1
gylas,Undirected,citoyen,1
gylas,Undirected,autre-citoyen,1
citoyen-i,Undirected,citoyen-ii,1
citoyen-i,Undirected,citoyen,1
citoyen-i,Undirected,autre-citoyen,1
citoyen-ii,Undirected,citoyen,1
citoyen-ii,Undirected,autre-citoyen,1
citoyen,Undirected,autre-citoyen,1
