Source,Type,Target,Weight
arthenice,Undirected,madame-sorbin,14
arthenice,Undirected,timagene,4
arthenice,Undirected,monsieur-sorbin,3
arthenice,Undirected,persinet,3
arthenice,Undirected,lina,6
arthenice,Undirected,une-des-deputees,1
arthenice,Undirected,la-femme,1
arthenice,Undirected,une-des-femmes,2
arthenice,Undirected,une-autre-femme,1
arthenice,Undirected,une-femme,1
arthenice,Undirected,une-autre,1
arthenice,Undirected,toutes-les-femmes,1
arthenice,Undirected,hermocrate,3
arthenice,Undirected,un-autre-homme,1
arthenice,Undirected,un-homme,1
madame-sorbin,Undirected,timagene,5
madame-sorbin,Undirected,monsieur-sorbin,4
madame-sorbin,Undirected,persinet,4
madame-sorbin,Undirected,lina,7
madame-sorbin,Undirected,une-des-deputees,1
madame-sorbin,Undirected,la-femme,1
madame-sorbin,Undirected,une-des-femmes,2
madame-sorbin,Undirected,une-autre-femme,1
madame-sorbin,Undirected,une-femme,1
madame-sorbin,Undirected,une-autre,1
madame-sorbin,Undirected,toutes-les-femmes,1
madame-sorbin,Undirected,hermocrate,3
madame-sorbin,Undirected,un-autre-homme,1
madame-sorbin,Undirected,un-homme,1
timagene,Undirected,monsieur-sorbin,6
timagene,Undirected,hermocrate,4
timagene,Undirected,persinet,4
timagene,Undirected,un-autre-homme,2
timagene,Undirected,un-homme,1
timagene,Undirected,lina,1
monsieur-sorbin,Undirected,hermocrate,3
monsieur-sorbin,Undirected,persinet,4
monsieur-sorbin,Undirected,un-autre-homme,1
monsieur-sorbin,Undirected,lina,1
persinet,Undirected,lina,4
persinet,Undirected,hermocrate,3
persinet,Undirected,un-autre-homme,1
lina,Undirected,la-femme,1
lina,Undirected,une-des-femmes,2
lina,Undirected,une-autre-femme,1
lina,Undirected,une-femme,1
lina,Undirected,une-autre,1
lina,Undirected,toutes-les-femmes,1
la-femme,Undirected,une-des-femmes,1
une-des-femmes,Undirected,une-autre-femme,1
une-des-femmes,Undirected,une-femme,1
une-des-femmes,Undirected,une-autre,1
une-des-femmes,Undirected,toutes-les-femmes,1
une-autre-femme,Undirected,une-femme,1
une-autre-femme,Undirected,une-autre,1
une-autre-femme,Undirected,toutes-les-femmes,1
une-femme,Undirected,une-autre,1
une-femme,Undirected,toutes-les-femmes,1
une-autre,Undirected,toutes-les-femmes,1
hermocrate,Undirected,un-autre-homme,2
hermocrate,Undirected,un-homme,1
un-autre-homme,Undirected,un-homme,1
