Source,Type,Target,Weight
frontin,Undirected,trivelin,2
frontin,Undirected,le-chevalier,1
trivelin,Undirected,le-chevalier,5
trivelin,Undirected,arlequin,4
trivelin,Undirected,lelio,4
trivelin,Undirected,la-comtesse,1
le-chevalier,Undirected,arlequin,4
le-chevalier,Undirected,lelio,10
le-chevalier,Undirected,la-comtesse,6
le-chevalier,Undirected,un-valet,1
arlequin,Undirected,lelio,4
arlequin,Undirected,la-comtesse,1
lelio,Undirected,le-chanteur,1
lelio,Undirected,un-paysan,1
lelio,Undirected,mathurine,1
lelio,Undirected,la-comtesse,4
lelio,Undirected,un-valet,1
la-comtesse,Undirected,un-valet,1
le-chanteur,Undirected,un-paysan,1
le-chanteur,Undirected,mathurine,1
un-paysan,Undirected,mathurine,1
