Source,Type,Target,Weight
claudine,Undirected,blaise,5
claudine,Undirected,arlequin,3
claudine,Undirected,le-chevalier,4
claudine,Undirected,madame-damis,4
claudine,Undirected,colin,2
claudine,Undirected,colette,2
claudine,Undirected,griffet,1
blaise,Undirected,arlequin,4
blaise,Undirected,madame-damis,3
blaise,Undirected,le-chevalier,3
blaise,Undirected,colin,3
blaise,Undirected,colette,3
blaise,Undirected,le-fiscal,1
blaise,Undirected,griffet,1
arlequin,Undirected,madame-damis,2
arlequin,Undirected,le-chevalier,3
arlequin,Undirected,colin,4
arlequin,Undirected,colette,5
arlequin,Undirected,griffet,1
le-chevalier,Undirected,madame-damis,4
le-chevalier,Undirected,colin,3
le-chevalier,Undirected,colette,3
le-chevalier,Undirected,griffet,1
madame-damis,Undirected,colin,3
madame-damis,Undirected,colette,2
madame-damis,Undirected,griffet,1
colin,Undirected,colette,4
colin,Undirected,griffet,1
colette,Undirected,griffet,1
