Source,Type,Target,Weight
madame-lepine,Undirected,le-chevalier,5
madame-lepine,Undirected,la-ramee,7
madame-lepine,Undirected,cathos,11
madame-lepine,Undirected,monsieur-lormeau,2
madame-lepine,Undirected,madame-la-thibaudiere,8
madame-lepine,Undirected,le-valet,1
madame-lepine,Undirected,colin,1
madame-lepine,Undirected,valet-colin,1
le-chevalier,Undirected,la-ramee,6
le-chevalier,Undirected,madame-la-thibaudiere,5
le-chevalier,Undirected,cathos,3
le-chevalier,Undirected,lisette,1
le-chevalier,Undirected,l-inconnue,1
le-chevalier,Undirected,marton,1
le-chevalier,Undirected,marthon,1
le-chevalier,Undirected,monsieur-lormeau,1
le-chevalier,Undirected,monsieur-derval,1
le-chevalier,Undirected,une-des-dames,1
la-ramee,Undirected,cathos,6
la-ramee,Undirected,monsieur-lormeau,2
la-ramee,Undirected,lisette,1
la-ramee,Undirected,madame-la-thibaudiere,2
la-ramee,Undirected,l-inconnue,1
la-ramee,Undirected,marton,1
la-ramee,Undirected,marthon,1
la-ramee,Undirected,monsieur-derval,1
la-ramee,Undirected,une-des-dames,1
madame-la-thibaudiere,Undirected,monsieur-lormeau,3
madame-la-thibaudiere,Undirected,cathos,9
madame-la-thibaudiere,Undirected,monsieur-derval,2
madame-la-thibaudiere,Undirected,le-valet,1
madame-la-thibaudiere,Undirected,colin,1
madame-la-thibaudiere,Undirected,valet-colin,1
madame-la-thibaudiere,Undirected,lisette,1
madame-la-thibaudiere,Undirected,l-inconnue,1
madame-la-thibaudiere,Undirected,marton,1
madame-la-thibaudiere,Undirected,marthon,1
madame-la-thibaudiere,Undirected,une-des-dames,1
cathos,Undirected,monsieur-lormeau,4
cathos,Undirected,monsieur-derval,2
cathos,Undirected,le-valet,1
cathos,Undirected,colin,1
cathos,Undirected,valet-colin,1
cathos,Undirected,lisette,1
cathos,Undirected,l-inconnue,1
cathos,Undirected,marton,1
cathos,Undirected,marthon,1
cathos,Undirected,une-des-dames,1
monsieur-lormeau,Undirected,monsieur-derval,2
monsieur-lormeau,Undirected,une-des-dames,1
monsieur-derval,Undirected,une-des-dames,1
le-valet,Undirected,colin,1
le-valet,Undirected,valet-colin,1
colin,Undirected,valet-colin,1
lisette,Undirected,l-inconnue,1
lisette,Undirected,marton,1
lisette,Undirected,marthon,1
l-inconnue,Undirected,marton,1
l-inconnue,Undirected,marthon,1
marton,Undirected,marthon,1
