Source,Type,Target,Weight
phocion,Undirected,hermidas,9
phocion,Undirected,arlequin,9
phocion,Undirected,dimas,10
phocion,Undirected,agis,8
phocion,Undirected,leontine,8
phocion,Undirected,hermocrate,8
hermidas,Undirected,arlequin,5
hermidas,Undirected,agis,1
hermidas,Undirected,dimas,3
hermidas,Undirected,leontine,1
hermidas,Undirected,hermocrate,2
arlequin,Undirected,dimas,6
arlequin,Undirected,agis,3
arlequin,Undirected,leontine,3
arlequin,Undirected,hermocrate,2
dimas,Undirected,agis,3
dimas,Undirected,leontine,1
dimas,Undirected,hermocrate,3
agis,Undirected,leontine,3
agis,Undirected,hermocrate,4
leontine,Undirected,hermocrate,4
