Source,Type,Target,Weight
mlle-de-saint-yves,Undirected,mlle-de-kerkabon,5
mlle-de-saint-yves,Undirected,gilotin,4
mlle-de-saint-yves,Undirected,le-huron,7
mlle-de-saint-yves,Undirected,kerkabon,1
mlle-de-saint-yves,Undirected,monsieur,1
mlle-de-saint-yves,Undirected,madamoiselle-de-kerkabon,1
mlle-de-saint-yves,Undirected,ensemble,1
mlle-de-saint-yves,Undirected,l-officier,2
mlle-de-saint-yves,Undirected,saint-yves,2
mlle-de-saint-yves,Undirected,le-bailli,1
mlle-de-saint-yves,Undirected,choeur,1
mlle-de-kerkabon,Undirected,gilotin,3
mlle-de-kerkabon,Undirected,le-huron,6
mlle-de-kerkabon,Undirected,kerkabon,4
mlle-de-kerkabon,Undirected,monsieur,1
mlle-de-kerkabon,Undirected,madamoiselle-de-kerkabon,1
mlle-de-kerkabon,Undirected,ensemble,1
mlle-de-kerkabon,Undirected,saint-yves,2
gilotin,Undirected,le-huron,4
gilotin,Undirected,le-caporal,1
gilotin,Undirected,l-officier,1
gilotin,Undirected,saint-yves,1
le-huron,Undirected,kerkabon,2
le-huron,Undirected,monsieur,1
le-huron,Undirected,madamoiselle-de-kerkabon,1
le-huron,Undirected,ensemble,1
le-huron,Undirected,le-caporal,1
le-huron,Undirected,l-officier,4
le-huron,Undirected,saint-yves,4
le-huron,Undirected,le-bailli,1
le-huron,Undirected,choeur,1
kerkabon,Undirected,monsieur,1
kerkabon,Undirected,madamoiselle-de-kerkabon,1
kerkabon,Undirected,ensemble,1
kerkabon,Undirected,saint-yves,2
monsieur,Undirected,madamoiselle-de-kerkabon,1
monsieur,Undirected,ensemble,1
madamoiselle-de-kerkabon,Undirected,ensemble,1
l-officier,Undirected,le-caporal,1
l-officier,Undirected,saint-yves,2
l-officier,Undirected,le-bailli,1
l-officier,Undirected,choeur,1
saint-yves,Undirected,le-bailli,1
saint-yves,Undirected,choeur,1
le-bailli,Undirected,choeur,1
