Source,Type,Target,Weight
monsieur-dabelle,Undirected,lucile,6
monsieur-dabelle,Undirected,bonnemer,4
monsieur-dabelle,Undirected,un-domestique,1
monsieur-dabelle,Undirected,jenneval,4
monsieur-dabelle,Undirected,monsieur-ducrone,3
lucile,Undirected,bonnemer,7
lucile,Undirected,un-domestique,1
lucile,Undirected,orphise,1
lucile,Undirected,monsieur-ducrone,2
lucile,Undirected,jenneval,2
bonnemer,Undirected,jenneval,6
bonnemer,Undirected,rosalie,1
bonnemer,Undirected,monsieur-ducrone,2
jenneval,Undirected,rosalie,7
jenneval,Undirected,justine,1
jenneval,Undirected,monsieur-ducrone,2
jenneval,Undirected,brigard,1
rosalie,Undirected,justine,5
rosalie,Undirected,brigard,4
justine,Undirected,brigard,1
