Source,Type,Target,Weight
lariffardiere,Undirected,alain,2
lariffardiere,Undirected,dramantour,6
lariffardiere,Undirected,lahausse,5
lariffardiere,Undirected,malingre,9
lariffardiere,Undirected,dandinville,4
lariffardiere,Undirected,tous,3
lariffardiere,Undirected,adele,5
lariffardiere,Undirected,choeur,1
lariffardiere,Undirected,tantmieux,5
lariffardiere,Undirected,geronte,5
alain,Undirected,dramantour,1
alain,Undirected,lahausse,1
alain,Undirected,malingre,2
alain,Undirected,dandinville,1
alain,Undirected,tous,1
dramantour,Undirected,lahausse,4
dramantour,Undirected,malingre,6
dramantour,Undirected,dandinville,4
dramantour,Undirected,tous,3
dramantour,Undirected,choeur,1
dramantour,Undirected,tantmieux,4
dramantour,Undirected,geronte,5
dramantour,Undirected,adele,4
lahausse,Undirected,malingre,4
lahausse,Undirected,dandinville,4
lahausse,Undirected,tous,3
lahausse,Undirected,choeur,1
lahausse,Undirected,tantmieux,3
lahausse,Undirected,geronte,2
lahausse,Undirected,adele,2
malingre,Undirected,dandinville,4
malingre,Undirected,tous,3
malingre,Undirected,choeur,1
malingre,Undirected,tantmieux,7
malingre,Undirected,geronte,6
malingre,Undirected,adele,4
dandinville,Undirected,tous,3
dandinville,Undirected,choeur,1
dandinville,Undirected,tantmieux,3
dandinville,Undirected,geronte,2
dandinville,Undirected,adele,2
tous,Undirected,geronte,2
tous,Undirected,tantmieux,2
tous,Undirected,adele,2
adele,Undirected,geronte,4
adele,Undirected,tantmieux,3
choeur,Undirected,tantmieux,1
tantmieux,Undirected,geronte,5
