Source,Type,Target,Weight
le-narrateur,Undirected,monsieur-le-president,1
le-narrateur,Undirected,goguelot,1
le-narrateur,Undirected,le-pere-goguelot,1
le-narrateur,Undirected,le-prevenu,1
le-narrateur,Undirected,le-pere,1
monsieur-le-president,Undirected,goguelot,1
monsieur-le-president,Undirected,le-pere-goguelot,1
monsieur-le-president,Undirected,le-prevenu,1
monsieur-le-president,Undirected,le-pere,1
goguelot,Undirected,le-pere-goguelot,1
goguelot,Undirected,le-prevenu,1
goguelot,Undirected,le-pere,1
le-pere-goguelot,Undirected,le-prevenu,1
le-pere-goguelot,Undirected,le-pere,1
le-prevenu,Undirected,le-pere,1
