Source,Type,Target,Weight
eraste,Undirected,gros-rene,8
eraste,Undirected,marinette,4
eraste,Undirected,valere,2
eraste,Undirected,mascarille,2
eraste,Undirected,lucile,2
eraste,Undirected,polydore,1
eraste,Undirected,albert,1
eraste,Undirected,ascagne,1
gros-rene,Undirected,marinette,5
gros-rene,Undirected,valere,2
gros-rene,Undirected,mascarille,2
gros-rene,Undirected,lucile,2
gros-rene,Undirected,polydore,1
gros-rene,Undirected,albert,1
gros-rene,Undirected,ascagne,1
marinette,Undirected,lucile,3
marinette,Undirected,valere,1
marinette,Undirected,polydore,1
marinette,Undirected,albert,1
marinette,Undirected,ascagne,1
marinette,Undirected,mascarille,1
valere,Undirected,ascagne,2
valere,Undirected,frosine,1
valere,Undirected,polydore,3
valere,Undirected,mascarille,8
valere,Undirected,albert,4
valere,Undirected,lucile,3
valere,Undirected,la-rapiere,1
mascarille,Undirected,albert,5
mascarille,Undirected,lucile,2
mascarille,Undirected,la-rapiere,1
mascarille,Undirected,polydore,2
mascarille,Undirected,ascagne,1
frosine,Undirected,ascagne,4
ascagne,Undirected,lucile,2
ascagne,Undirected,polydore,2
ascagne,Undirected,albert,1
lucile,Undirected,albert,3
lucile,Undirected,polydore,1
albert,Undirected,metaphraste,1
albert,Undirected,polydore,2
