Source,Type,Target,Weight
premiere-voix,Undirected,deuxieme-voix,1
premiere-voix,Undirected,troisieme-voix,1
premiere-voix,Undirected,les-trois-voix-ensemble,1
deuxieme-voix,Undirected,troisieme-voix,1
deuxieme-voix,Undirected,les-trois-voix-ensemble,1
troisieme-voix,Undirected,les-trois-voix-ensemble,1
l-avocat,Undirected,l-avocat-bredouilleur,1
l-egyptienne,Undirected,choeur-des-musiciens,1
l-egyptienne,Undirected,l-egyptien,1
l-egyptienne,Undirected,le-petit-choeur,1
l-egyptienne,Undirected,monsieur-blondel,1
l-egyptienne,Undirected,tous-ensemble,1
choeur-des-musiciens,Undirected,l-egyptien,1
choeur-des-musiciens,Undirected,le-petit-choeur,1
choeur-des-musiciens,Undirected,monsieur-blondel,1
choeur-des-musiciens,Undirected,tous-ensemble,1
l-egyptien,Undirected,le-petit-choeur,1
l-egyptien,Undirected,monsieur-blondel,1
l-egyptien,Undirected,tous-ensemble,1
le-petit-choeur,Undirected,monsieur-blondel,1
le-petit-choeur,Undirected,tous-ensemble,1
monsieur-blondel,Undirected,tous-ensemble,1
