Source,Type,Target,Weight
chrysalde,Undirected,arnolphe,4
chrysalde,Undirected,enrique,2
chrysalde,Undirected,horace,2
chrysalde,Undirected,oronte,2
chrysalde,Undirected,agnes,1
arnolphe,Undirected,alain,7
arnolphe,Undirected,georgette,6
arnolphe,Undirected,agnes,5
arnolphe,Undirected,horace,7
arnolphe,Undirected,notaire,1
arnolphe,Undirected,enrique,2
arnolphe,Undirected,oronte,3
alain,Undirected,georgette,7
alain,Undirected,notaire,1
georgette,Undirected,notaire,1
georgette,Undirected,horace,1
georgette,Undirected,oronte,1
agnes,Undirected,horace,2
agnes,Undirected,oronte,1
agnes,Undirected,enrique,1
horace,Undirected,enrique,2
horace,Undirected,oronte,3
enrique,Undirected,oronte,2
