Source,Type,Target,Weight
lelie,Undirected,mascarille,20
lelie,Undirected,celie,2
lelie,Undirected,trufaldin,9
lelie,Undirected,anselme,4
lelie,Undirected,leandre,3
lelie,Undirected,ergaste,1
lelie,Undirected,andres,4
lelie,Undirected,pandolfe,1
mascarille,Undirected,celie,4
mascarille,Undirected,trufaldin,10
mascarille,Undirected,anselme,5
mascarille,Undirected,pandolfe,2
mascarille,Undirected,hippolite,3
mascarille,Undirected,leandre,4
mascarille,Undirected,le-courrier,1
mascarille,Undirected,ergaste,3
mascarille,Undirected,andres,4
celie,Undirected,trufaldin,3
celie,Undirected,andres,2
celie,Undirected,hippolite,3
celie,Undirected,leandre,1
trufaldin,Undirected,leandre,3
trufaldin,Undirected,le-courrier,1
trufaldin,Undirected,hippolite,1
trufaldin,Undirected,andres,2
trufaldin,Undirected,pandolfe,1
trufaldin,Undirected,anselme,1
anselme,Undirected,pandolfe,2
anselme,Undirected,leandre,1
anselme,Undirected,andres,1
pandolfe,Undirected,andres,1
hippolite,Undirected,leandre,2
hippolite,Undirected,andres,1
leandre,Undirected,andres,1
