Source,Type,Target,Weight
du-croisy,Undirected,la-grange,3
du-croisy,Undirected,mascarille,2
du-croisy,Undirected,jodelet,2
du-croisy,Undirected,magdelon,1
du-croisy,Undirected,cathos,1
du-croisy,Undirected,violons,1
la-grange,Undirected,gorgibus,1
la-grange,Undirected,mascarille,2
la-grange,Undirected,jodelet,2
la-grange,Undirected,magdelon,1
la-grange,Undirected,cathos,1
la-grange,Undirected,violons,1
gorgibus,Undirected,marotte,1
gorgibus,Undirected,magdelon,2
gorgibus,Undirected,cathos,1
gorgibus,Undirected,mascarille,1
gorgibus,Undirected,violons,1
marotte,Undirected,magdelon,2
marotte,Undirected,cathos,2
marotte,Undirected,mascarille,2
magdelon,Undirected,cathos,9
magdelon,Undirected,mascarille,7
magdelon,Undirected,almanzor,2
magdelon,Undirected,jodelet,4
magdelon,Undirected,lucile,1
magdelon,Undirected,violons,1
cathos,Undirected,mascarille,6
cathos,Undirected,almanzor,2
cathos,Undirected,jodelet,4
cathos,Undirected,lucile,1
cathos,Undirected,violons,1
mascarille,Undirected,premier-porteur,1
mascarille,Undirected,deuxieme-porteur,1
mascarille,Undirected,almanzor,2
mascarille,Undirected,jodelet,5
mascarille,Undirected,lucile,1
mascarille,Undirected,violons,1
premier-porteur,Undirected,deuxieme-porteur,1
almanzor,Undirected,lucile,1
almanzor,Undirected,jodelet,1
jodelet,Undirected,lucile,1
jodelet,Undirected,violons,1
