Source,Type,Target,Weight
alexandre-dumas-pere,Undirected,domingo,1
alexandre-dumas-pere,Undirected,un-gamin,1
alexandre-dumas-pere,Undirected,le-critique,1
alexandre-dumas-pere,Undirected,alexandre-dumas-fils,1
alexandre-dumas-pere,Undirected,premier-passant,1
alexandre-dumas-pere,Undirected,deuxieme-passant,1
alexandre-dumas-pere,Undirected,troisieme-passant,1
le-critique,Undirected,alexandre-dumas-fils,1
le-critique,Undirected,premier-passant,1
le-critique,Undirected,deuxieme-passant,1
le-critique,Undirected,troisieme-passant,1
alexandre-dumas-fils,Undirected,premier-passant,1
alexandre-dumas-fils,Undirected,deuxieme-passant,1
alexandre-dumas-fils,Undirected,troisieme-passant,1
premier-passant,Undirected,deuxieme-passant,1
premier-passant,Undirected,troisieme-passant,1
deuxieme-passant,Undirected,troisieme-passant,1
