Source,Type,Target,Weight
virgile,Undirected,nous,1
hippolyte-lucas,Undirected,le-diable,1
hippolyte-lucas,Undirected,louis-desnoyers,1
hippolyte-lucas,Undirected,felix-pigeory,1
hippolyte-lucas,Undirected,pitre-chevalier,1
le-diable,Undirected,louis-desnoyers,1
le-diable,Undirected,felix-pigeory,1
le-diable,Undirected,pitre-chevalier,1
le-diable,Undirected,alexandre-dumas,1
le-diable,Undirected,pidoux,1
le-diable,Undirected,le-diable-adjoint,1
le-diable,Undirected,george-sand,1
le-diable,Undirected,paul-feval,1
le-diable,Undirected,marie-aycard,1
le-diable,Undirected,pierre-zaccone,1
le-diable,Undirected,tous,1
le-diable,Undirected,elie-berthet,1
le-diable,Undirected,aristide-de-gondrecourt,1
le-diable,Undirected,pierre-alexis-ponson-du-terrail,1
le-diable,Undirected,guillaume-de-la-landelle,1
le-diable,Undirected,xavier-de-montepin,1
louis-desnoyers,Undirected,felix-pigeory,1
louis-desnoyers,Undirected,pitre-chevalier,1
felix-pigeory,Undirected,pitre-chevalier,1
l-etudiant,Undirected,sainte-beuve,1
pidoux,Undirected,le-diable-adjoint,1
pidoux,Undirected,george-sand,1
le-diable-adjoint,Undirected,george-sand,1
premier-diable,Undirected,deuxieme-diable,2
premier-diable,Undirected,troisieme-diable,2
premier-diable,Undirected,quatrieme-diable,1
premier-diable,Undirected,cinquieme-diable,1
premier-diable,Undirected,merimee,1
premier-diable,Undirected,monsieur-libri,1
premier-diable,Undirected,stendhal,1
deuxieme-diable,Undirected,troisieme-diable,2
deuxieme-diable,Undirected,quatrieme-diable,1
deuxieme-diable,Undirected,cinquieme-diable,1
deuxieme-diable,Undirected,merimee,1
deuxieme-diable,Undirected,monsieur-libri,1
deuxieme-diable,Undirected,stendhal,1
troisieme-diable,Undirected,quatrieme-diable,1
troisieme-diable,Undirected,cinquieme-diable,1
troisieme-diable,Undirected,merimee,1
troisieme-diable,Undirected,monsieur-libri,1
troisieme-diable,Undirected,stendhal,1
quatrieme-diable,Undirected,cinquieme-diable,1
benoit-jouvin,Undirected,le-machiniste,1
benoit-jouvin,Undirected,l-ouvreuse,1
benoit-jouvin,Undirected,le-pompier,1
le-machiniste,Undirected,l-ouvreuse,1
le-machiniste,Undirected,le-pompier,1
l-ouvreuse,Undirected,le-pompier,1
merimee,Undirected,monsieur-libri,1
merimee,Undirected,stendhal,1
monsieur-libri,Undirected,stendhal,1
anita,Undirected,toutes,1
anita,Undirected,armand-de-pontmartin,1
anita,Undirected,heloïse,1
anita,Undirected,marguerite,1
anita,Undirected,nini,1
anita,Undirected,suzanne,1
toutes,Undirected,armand-de-pontmartin,1
toutes,Undirected,heloïse,1
toutes,Undirected,marguerite,1
toutes,Undirected,nini,1
toutes,Undirected,suzanne,1
armand-de-pontmartin,Undirected,heloïse,1
armand-de-pontmartin,Undirected,marguerite,1
armand-de-pontmartin,Undirected,nini,1
armand-de-pontmartin,Undirected,suzanne,1
heloïse,Undirected,marguerite,1
heloïse,Undirected,nini,1
heloïse,Undirected,suzanne,1
marguerite,Undirected,nini,1
marguerite,Undirected,suzanne,1
nini,Undirected,suzanne,1
paul-feval,Undirected,marie-aycard,1
paul-feval,Undirected,pierre-zaccone,1
paul-feval,Undirected,tous,1
paul-feval,Undirected,elie-berthet,1
paul-feval,Undirected,aristide-de-gondrecourt,1
paul-feval,Undirected,pierre-alexis-ponson-du-terrail,1
paul-feval,Undirected,guillaume-de-la-landelle,1
paul-feval,Undirected,xavier-de-montepin,1
marie-aycard,Undirected,pierre-zaccone,1
marie-aycard,Undirected,tous,1
marie-aycard,Undirected,elie-berthet,1
marie-aycard,Undirected,aristide-de-gondrecourt,1
marie-aycard,Undirected,pierre-alexis-ponson-du-terrail,1
marie-aycard,Undirected,guillaume-de-la-landelle,1
marie-aycard,Undirected,xavier-de-montepin,1
pierre-zaccone,Undirected,tous,1
pierre-zaccone,Undirected,elie-berthet,1
pierre-zaccone,Undirected,aristide-de-gondrecourt,1
pierre-zaccone,Undirected,pierre-alexis-ponson-du-terrail,1
pierre-zaccone,Undirected,guillaume-de-la-landelle,1
pierre-zaccone,Undirected,xavier-de-montepin,1
tous,Undirected,elie-berthet,1
tous,Undirected,aristide-de-gondrecourt,1
tous,Undirected,pierre-alexis-ponson-du-terrail,1
tous,Undirected,guillaume-de-la-landelle,1
tous,Undirected,xavier-de-montepin,1
elie-berthet,Undirected,aristide-de-gondrecourt,1
elie-berthet,Undirected,pierre-alexis-ponson-du-terrail,1
elie-berthet,Undirected,guillaume-de-la-landelle,1
elie-berthet,Undirected,xavier-de-montepin,1
aristide-de-gondrecourt,Undirected,pierre-alexis-ponson-du-terrail,1
aristide-de-gondrecourt,Undirected,guillaume-de-la-landelle,1
aristide-de-gondrecourt,Undirected,xavier-de-montepin,1
pierre-alexis-ponson-du-terrail,Undirected,guillaume-de-la-landelle,1
pierre-alexis-ponson-du-terrail,Undirected,xavier-de-montepin,1
guillaume-de-la-landelle,Undirected,xavier-de-montepin,1
