Source,Type,Target,Weight
le-choeur,Undirected,maitre-blazius,1
le-choeur,Undirected,dame-pluche,3
le-choeur,Undirected,le-baron,1
le-choeur,Undirected,perdican,2
le-choeur,Undirected,camille,2
le-choeur,Undirected,rosette,1
maitre-blazius,Undirected,dame-pluche,4
maitre-blazius,Undirected,le-baron,4
maitre-blazius,Undirected,maitre-bridaine,3
maitre-blazius,Undirected,perdican,4
maitre-blazius,Undirected,camille,2
maitre-blazius,Undirected,le-paysan,1
maitre-blazius,Undirected,rosette,1
dame-pluche,Undirected,le-baron,2
dame-pluche,Undirected,maitre-bridaine,2
dame-pluche,Undirected,perdican,5
dame-pluche,Undirected,camille,5
dame-pluche,Undirected,le-paysan,1
dame-pluche,Undirected,rosette,2
le-baron,Undirected,maitre-bridaine,3
le-baron,Undirected,perdican,4
le-baron,Undirected,camille,3
le-baron,Undirected,rosette,1
maitre-bridaine,Undirected,perdican,2
maitre-bridaine,Undirected,camille,1
maitre-bridaine,Undirected,le-paysan,1
maitre-bridaine,Undirected,rosette,1
perdican,Undirected,camille,8
perdican,Undirected,rosette,6
perdican,Undirected,le-paysan,2
camille,Undirected,le-paysan,1
camille,Undirected,rosette,3
rosette,Undirected,le-paysan,2
