Source,Type,Target,Weight
le-choeur,Undirected,frank,3
le-choeur,Undirected,chasseurs,2
le-choeur,Undirected,gunther,2
le-choeur,Undirected,trois-moines,1
le-choeur,Undirected,les-moines,1
le-choeur,Undirected,l-officier,1
le-choeur,Undirected,le-peuple,1
le-choeur,Undirected,les-soldats,1
le-choeur,Undirected,les-tyroliens,1
le-choeur,Undirected,tous,1
le-choeur,Undirected,belcolore,1
frank,Undirected,chasseurs,1
frank,Undirected,la-jeune-fille,1
frank,Undirected,la-voix,1
frank,Undirected,stranio,1
frank,Undirected,belcolore,3
frank,Undirected,le-soldat,1
frank,Undirected,gunther,2
frank,Undirected,trois-moines,1
frank,Undirected,les-moines,1
frank,Undirected,l-officier,1
frank,Undirected,le-peuple,1
frank,Undirected,les-soldats,1
frank,Undirected,les-tyroliens,1
frank,Undirected,tous,1
frank,Undirected,deidamia,1
frank,Undirected,les-montagnards,1
la-voix,Undirected,stranio,1
la-voix,Undirected,belcolore,1
stranio,Undirected,belcolore,1
belcolore,Undirected,le-soldat,1
belcolore,Undirected,les-soldats,2
belcolore,Undirected,le-lieutenant,1
belcolore,Undirected,le-peuple,2
belcolore,Undirected,les-chevaliers,1
belcolore,Undirected,gunther,1
belcolore,Undirected,trois-moines,1
belcolore,Undirected,les-moines,1
belcolore,Undirected,l-officier,1
belcolore,Undirected,les-tyroliens,1
belcolore,Undirected,tous,1
les-soldats,Undirected,le-lieutenant,1
les-soldats,Undirected,le-peuple,2
les-soldats,Undirected,les-chevaliers,1
les-soldats,Undirected,gunther,1
les-soldats,Undirected,trois-moines,1
les-soldats,Undirected,les-moines,1
les-soldats,Undirected,l-officier,1
les-soldats,Undirected,les-tyroliens,1
les-soldats,Undirected,tous,1
le-lieutenant,Undirected,le-peuple,1
le-lieutenant,Undirected,les-chevaliers,1
le-peuple,Undirected,les-chevaliers,1
le-peuple,Undirected,gunther,1
le-peuple,Undirected,trois-moines,1
le-peuple,Undirected,les-moines,1
le-peuple,Undirected,l-officier,1
le-peuple,Undirected,les-tyroliens,1
le-peuple,Undirected,tous,1
gunther,Undirected,trois-moines,1
gunther,Undirected,les-moines,1
gunther,Undirected,l-officier,1
gunther,Undirected,les-tyroliens,1
gunther,Undirected,tous,1
trois-moines,Undirected,les-moines,1
trois-moines,Undirected,l-officier,1
trois-moines,Undirected,les-tyroliens,1
trois-moines,Undirected,tous,1
les-moines,Undirected,l-officier,1
les-moines,Undirected,les-tyroliens,1
les-moines,Undirected,tous,1
l-officier,Undirected,les-tyroliens,1
l-officier,Undirected,tous,1
les-tyroliens,Undirected,tous,1
deidamia,Undirected,les-vierges,1
deidamia,Undirected,les-femmes,1
deidamia,Undirected,les-montagnards,1
les-vierges,Undirected,les-femmes,1
