Source,Type,Target,Weight
menelaüs,Undirected,alcime,1
menelaüs,Undirected,antiochus,2
alcime,Undirected,antiochus,1
salmone,Undirected,maccabee,4
salmone,Undirected,antiochus,3
salmone,Undirected,elise,1
salmone,Undirected,zoraïde,2
salmone,Undirected,achas,1
salmone,Undirected,azaël,1
maccabee,Undirected,elise,1
maccabee,Undirected,antiochus,3
maccabee,Undirected,zoraïde,4
maccabee,Undirected,achas,1
antiochus,Undirected,zoraïde,6
antiochus,Undirected,achas,5
antiochus,Undirected,phostime,1
antiochus,Undirected,azaël,2
zoraïde,Undirected,phoedime,1
zoraïde,Undirected,achas,1
zoraïde,Undirected,phostime,1
