Source,Type,Target,Weight
une-israelite,Undirected,l-epouse,1
une-israelite,Undirected,une-fille-de-sion,1
une-israelite,Undirected,une-autre-fille-de-sion,1
une-israelite,Undirected,le-choeur,1
une-israelite,Undirected,un-israelite,1
l-epouse,Undirected,une-fille-de-sion,2
l-epouse,Undirected,une-autre-fille-de-sion,1
l-epouse,Undirected,le-choeur,2
l-epouse,Undirected,un-israelite,1
l-epouse,Undirected,l-epoux,1
une-fille-de-sion,Undirected,une-autre-fille-de-sion,1
une-fille-de-sion,Undirected,le-choeur,2
une-fille-de-sion,Undirected,un-israelite,1
une-fille-de-sion,Undirected,l-epoux,1
une-autre-fille-de-sion,Undirected,le-choeur,1
une-autre-fille-de-sion,Undirected,un-israelite,1
le-choeur,Undirected,un-israelite,1
le-choeur,Undirected,l-epoux,1
