Source,Type,Target,Weight
clorine,Undirected,monrose,5
clorine,Undirected,aramont,7
clorine,Undirected,hortense,7
clorine,Undirected,ariste,1
monrose,Undirected,ariste,4
monrose,Undirected,dornane,4
monrose,Undirected,aramont,13
monrose,Undirected,hortense,7
monrose,Undirected,le-valet,1
monrose,Undirected,le-garde,1
aramont,Undirected,dornane,6
aramont,Undirected,ariste,3
aramont,Undirected,hortense,6
aramont,Undirected,le-valet,1
aramont,Undirected,le-garde,1
dornane,Undirected,ariste,2
ariste,Undirected,hortense,2
hortense,Undirected,le-valet,1
