Source,Type,Target,Weight
choeur,Undirected,ariane,2
choeur,Undirected,miss-clustenbrut,2
choeur,Undirected,thesee,3
choeur,Undirected,minos,3
choeur,Undirected,pasiphaë,3
choeur,Undirected,le-choeur,1
choeur,Undirected,tous,2
choeur,Undirected,pasipiiaë,1
choeur,Undirected,pasiphae,1
choeur,Undirected,v,1
ariane,Undirected,miss-clustenbrut,5
ariane,Undirected,pasiphaë,5
ariane,Undirected,minos,3
ariane,Undirected,thesee,2
ariane,Undirected,le-choeur,1
ariane,Undirected,tous,1
ariane,Undirected,pasipiiaë,1
ariane,Undirected,pasiphae,1
ariane,Undirected,un-garde,1
miss-clustenbrut,Undirected,pasiphaë,3
miss-clustenbrut,Undirected,minos,2
miss-clustenbrut,Undirected,thesee,1
miss-clustenbrut,Undirected,le-choeur,1
miss-clustenbrut,Undirected,tous,1
miss-clustenbrut,Undirected,pasipiiaë,1
miss-clustenbrut,Undirected,pasiphae,1
pasiphaë,Undirected,minos,6
pasiphaë,Undirected,un-garde,2
pasiphaë,Undirected,thesee,4
pasiphaë,Undirected,le-choeur,1
pasiphaë,Undirected,tous,2
pasiphaë,Undirected,pasipiiaë,1
pasiphaë,Undirected,pasiphae,1
pasiphaë,Undirected,v,1
minos,Undirected,un-garde,2
minos,Undirected,thesee,3
minos,Undirected,le-choeur,1
minos,Undirected,tous,2
minos,Undirected,pasipiiaë,1
minos,Undirected,pasiphae,1
minos,Undirected,v,1
thesee,Undirected,le-choeur,1
thesee,Undirected,tous,2
thesee,Undirected,pasipiiaë,1
thesee,Undirected,pasiphae,1
thesee,Undirected,v,1
le-choeur,Undirected,tous,1
le-choeur,Undirected,pasipiiaë,1
le-choeur,Undirected,pasiphae,1
tous,Undirected,pasipiiaë,1
tous,Undirected,pasiphae,1
pasipiiaë,Undirected,pasiphae,1
