Source,Type,Target,Weight
louisette,Undirected,jean,5
louisette,Undirected,moliere,5
louisette,Undirected,madeleine,4
louisette,Undirected,mathurin,2
louisette,Undirected,françoise,2
louisette,Undirected,le-bailli,1
louisette,Undirected,le-comte,1
jean,Undirected,moliere,4
jean,Undirected,madeleine,4
jean,Undirected,mathurin,2
jean,Undirected,françoise,2
jean,Undirected,le-bailli,1
jean,Undirected,le-comte,1
moliere,Undirected,madeleine,4
moliere,Undirected,le-bailli,2
moliere,Undirected,mathurin,2
moliere,Undirected,françoise,2
moliere,Undirected,le-comte,2
madeleine,Undirected,mathurin,2
madeleine,Undirected,françoise,2
madeleine,Undirected,le-bailli,1
madeleine,Undirected,le-comte,1
le-bailli,Undirected,le-paysan,1
le-bailli,Undirected,le-comte,1
le-bailli,Undirected,mathurin,1
le-bailli,Undirected,françoise,1
mathurin,Undirected,françoise,2
mathurin,Undirected,le-comte,1
françoise,Undirected,le-comte,1
