Source,Type,Target,Weight
le-chevalier,Undirected,le-marquis,3
le-chevalier,Undirected,la-presidente,3
le-chevalier,Undirected,la-fleur,1
le-chevalier,Undirected,monsieur-serpolet,1
le-marquis,Undirected,la-fleur,1
le-marquis,Undirected,la-presidente,2
le-marquis,Undirected,monsieur-serpolet,1
la-presidente,Undirected,la-fleur,1
la-presidente,Undirected,monsieur-serpolet,1
l-amour,Undirected,l-esperance,1
l-amour,Undirected,mercure,1
mercure,Undirected,caron,1
mercure,Undirected,pluton,7
mercure,Undirected,la-vieillesse,1
mercure,Undirected,la-migraine,1
mercure,Undirected,la-necessite,1
mercure,Undirected,la-paralysie,1
mercure,Undirected,l-envie,1
mercure,Undirected,la-haine,1
mercure,Undirected,la-fievre,1
mercure,Undirected,le-transport,1
pluton,Undirected,la-vieillesse,1
pluton,Undirected,la-necessite,1
pluton,Undirected,la-paralysie,1
pluton,Undirected,l-envie,1
pluton,Undirected,la-haine,1
pluton,Undirected,le-transport,1
l-envie,Undirected,la-haine,1
