Source,Type,Target,Weight
goulemer,Undirected,frelingue,1
goulemer,Undirected,marille,2
goulemer,Undirected,badzin,2
goulemer,Undirected,pacole,1
goulemer,Undirected,l-hote,1
frelingue,Undirected,marille,1
frelingue,Undirected,badzin,1
marille,Undirected,badzin,2
marille,Undirected,pacole,2
marille,Undirected,l-hote,1
marille,Undirected,la-hollande,4
marille,Undirected,beline,3
marille,Undirected,l-espagnol,2
marille,Undirected,le-français,2
marille,Undirected,l-anglais,2
marille,Undirected,l-allemand,1
badzin,Undirected,pacole,1
badzin,Undirected,l-hote,1
pacole,Undirected,l-hote,1
pacole,Undirected,la-hollande,3
pacole,Undirected,beline,1
pacole,Undirected,le-français,1
pacole,Undirected,l-anglais,1
pacole,Undirected,premier-bourguemestre,1
pacole,Undirected,second-bourguemestre,1
la-hollande,Undirected,beline,5
la-hollande,Undirected,la-flamande,1
la-hollande,Undirected,premier-bourguemestre,2
la-hollande,Undirected,second-bourguemestre,2
la-hollande,Undirected,le-français,3
la-hollande,Undirected,l-anglais,3
la-hollande,Undirected,l-espagnol,2
la-hollande,Undirected,l-allemand,1
beline,Undirected,la-flamande,1
beline,Undirected,le-français,3
beline,Undirected,l-anglais,3
beline,Undirected,premier-bourguemestre,1
beline,Undirected,second-bourguemestre,1
beline,Undirected,l-espagnol,2
beline,Undirected,l-allemand,1
premier-bourguemestre,Undirected,second-bourguemestre,2
premier-bourguemestre,Undirected,le-français,1
premier-bourguemestre,Undirected,l-anglais,1
second-bourguemestre,Undirected,le-français,1
second-bourguemestre,Undirected,l-anglais,1
le-français,Undirected,l-anglais,3
le-français,Undirected,l-espagnol,2
le-français,Undirected,l-allemand,1
l-anglais,Undirected,l-espagnol,2
l-anglais,Undirected,l-allemand,1
l-espagnol,Undirected,l-allemand,1
