Source,Type,Target,Weight
jean,Undirected,marton,3
jean,Undirected,ariste,3
jean,Undirected,madame-argante,3
jean,Undirected,angelique,2
jean,Undirected,valere,2
jean,Undirected,monsieur-argante,1
marton,Undirected,madame-argante,2
marton,Undirected,angelique,2
marton,Undirected,valere,1
marton,Undirected,monsieur-argante,1
marton,Undirected,ariste,1
ariste,Undirected,madame-argante,2
ariste,Undirected,angelique,1
ariste,Undirected,valere,1
ariste,Undirected,monsieur-argante,1
madame-argante,Undirected,angelique,2
madame-argante,Undirected,valere,2
madame-argante,Undirected,monsieur-argante,2
angelique,Undirected,valere,3
angelique,Undirected,monsieur-argante,2
valere,Undirected,monsieur-argante,2
