Source,Type,Target,Weight
fabrice,Undirected,philinte,1
fabrice,Undirected,felicie,1
fabrice,Undirected,diane,1
fabrice,Undirected,thersandre,1
philinte,Undirected,diane,4
philinte,Undirected,ismene,5
philinte,Undirected,felicie,5
philinte,Undirected,thimante,3
philinte,Undirected,clidamant,5
philinte,Undirected,parthenie,4
philinte,Undirected,thersandre,2
diane,Undirected,ismene,9
diane,Undirected,thimante,7
diane,Undirected,thersandre,10
diane,Undirected,felicie,7
diane,Undirected,clidamant,3
diane,Undirected,parthenie,4
ismene,Undirected,thimante,14
ismene,Undirected,thersandre,7
ismene,Undirected,felicie,4
ismene,Undirected,clidamant,10
ismene,Undirected,parthenie,10
thimante,Undirected,thersandre,6
thimante,Undirected,felicie,4
thimante,Undirected,clidamant,8
thimante,Undirected,parthenie,8
thersandre,Undirected,parthenie,3
thersandre,Undirected,felicie,5
thersandre,Undirected,clidamant,2
felicie,Undirected,clidamant,4
felicie,Undirected,parthenie,4
clidamant,Undirected,parthenie,9
