Source,Type,Target,Weight
pandoste,Undirected,belaire,6
pandoste,Undirected,agatocles,2
pandoste,Undirected,fravion,1
pandoste,Undirected,conseiller,2
pandoste,Undirected,la-noblesse,3
pandoste,Undirected,troupe,1
pandoste,Undirected,l-ambassadeur,1
pandoste,Undirected,messager,1
belaire,Undirected,agatocles,3
belaire,Undirected,conseiller,1
belaire,Undirected,confidente,1
belaire,Undirected,le-prevot,1
belaire,Undirected,l-ambassadeur,1
belaire,Undirected,messager,1
agatocles,Undirected,fravion,2
agatocles,Undirected,cleante,1
agatocles,Undirected,ambassadeur,1
conseiller,Undirected,la-noblesse,1
conseiller,Undirected,troupe,1
la-noblesse,Undirected,troupe,1
cleante,Undirected,ambassadeur,1
le-sacrificateur,Undirected,l-oracle,1
confidente,Undirected,le-prevot,1
