Source,Type,Target,Weight
scipion,Undirected,caton,9
scipion,Undirected,lelie,6
scipion,Undirected,un-soldat,2
scipion,Undirected,amilcar,1
scipion,Undirected,asdrubal,5
scipion,Undirected,le-centurion,1
scipion,Undirected,sophronice,2
caton,Undirected,lelie,6
caton,Undirected,amilcar,1
caton,Undirected,asdrubal,4
caton,Undirected,un-soldat,1
lelie,Undirected,amilcar,1
lelie,Undirected,asdrubal,4
un-soldat,Undirected,amilcar,2
un-soldat,Undirected,sophronice,2
un-soldat,Undirected,clorisbe,1
un-soldat,Undirected,faustine,1
amilcar,Undirected,sophronice,3
amilcar,Undirected,cliphax,2
amilcar,Undirected,cleobule,1
amilcar,Undirected,lucius,1
amilcar,Undirected,clorisbe,1
amilcar,Undirected,faustine,1
sophronice,Undirected,clorisbe,5
sophronice,Undirected,faustine,5
sophronice,Undirected,asdrubal,2
sophronice,Undirected,gobrias,1
sophronice,Undirected,cliphax,1
clorisbe,Undirected,faustine,6
clorisbe,Undirected,asdrubal,2
clorisbe,Undirected,gobrias,1
faustine,Undirected,asdrubal,2
faustine,Undirected,gobrias,1
cliphax,Undirected,cleobule,1
cliphax,Undirected,lucius,1
cleobule,Undirected,lucius,1
