Source,Type,Target,Weight
phronime,Undirected,megathyme,1
phronime,Undirected,choeur,1
phronime,Undirected,la-vertu,1
phronime,Undirected,la-fortune,1
phronime,Undirected,choeurs,1
phronime,Undirected,suivante-de-la-vertu,1
phronime,Undirected,suivante-de-la-fortune,1
megathyme,Undirected,choeur,1
megathyme,Undirected,la-vertu,1
megathyme,Undirected,la-fortune,1
megathyme,Undirected,choeurs,1
megathyme,Undirected,suivante-de-la-vertu,1
megathyme,Undirected,suivante-de-la-fortune,1
choeur,Undirected,la-vertu,1
choeur,Undirected,la-fortune,1
choeur,Undirected,choeurs,1
choeur,Undirected,suivante-de-la-vertu,1
choeur,Undirected,suivante-de-la-fortune,1
choeur,Undirected,cassiope,1
choeur,Undirected,cephee,1
choeur,Undirected,andromede,1
choeur,Undirected,choeur-des-tritons,1
choeur,Undirected,ethiopiens,1
choeur,Undirected,nereides,1
choeur,Undirected,tritons,1
la-vertu,Undirected,la-fortune,1
la-vertu,Undirected,choeurs,1
la-vertu,Undirected,suivante-de-la-vertu,1
la-vertu,Undirected,suivante-de-la-fortune,1
la-fortune,Undirected,choeurs,1
la-fortune,Undirected,suivante-de-la-vertu,1
la-fortune,Undirected,suivante-de-la-fortune,1
choeurs,Undirected,suivante-de-la-vertu,1
choeurs,Undirected,suivante-de-la-fortune,1
choeurs,Undirected,venus,1
choeurs,Undirected,l-amour,1
choeurs,Undirected,l-hymenee,1
suivante-de-la-vertu,Undirected,suivante-de-la-fortune,1
cephee,Undirected,cassiope,9
cephee,Undirected,merope,4
cephee,Undirected,phinee,4
cephee,Undirected,andromede,7
cephee,Undirected,persee,2
cephee,Undirected,mercure,2
cephee,Undirected,euryale,1
cephee,Undirected,stenone,1
cephee,Undirected,idas,1
cephee,Undirected,ethiopiens,4
cephee,Undirected,triton,2
cephee,Undirected,nereides,3
cephee,Undirected,tritons,3
cephee,Undirected,choeur-des-tritons,1
cephee,Undirected,tous-ensemble,1
cephee,Undirected,nereide,1
cephee,Undirected,ethiopens,1
cephee,Undirected,un-des-ethiopiens,1
cephee,Undirected,le-choeur,1
cephee,Undirected,une-des-ethiopiennes,1
cephee,Undirected,sa-suite,2
cephee,Undirected,leurs-suites,1
cassiope,Undirected,merope,5
cassiope,Undirected,le-choeur,2
cassiope,Undirected,phinee,5
cassiope,Undirected,idas,1
cassiope,Undirected,ethiopiens,4
cassiope,Undirected,triton,2
cassiope,Undirected,andromede,6
cassiope,Undirected,nereides,3
cassiope,Undirected,tritons,3
cassiope,Undirected,choeur-des-tritons,1
cassiope,Undirected,tous-ensemble,1
cassiope,Undirected,nereide,1
cassiope,Undirected,ethiopens,1
cassiope,Undirected,un-des-ethiopiens,1
cassiope,Undirected,une-des-ethiopiennes,1
cassiope,Undirected,sa-suite,2
cassiope,Undirected,leurs-suites,1
cassiope,Undirected,persee,1
merope,Undirected,andromede,3
merope,Undirected,phinee,7
merope,Undirected,troupe-d-ethiopiens,1
merope,Undirected,seconde-troupe-ethiopiens,1
merope,Undirected,troisieme-troupe-d-ethiopiens,1
merope,Undirected,idas,1
merope,Undirected,ethiopiens,1
merope,Undirected,triton,1
merope,Undirected,nereides,1
merope,Undirected,tritons,1
andromede,Undirected,phinee,4
andromede,Undirected,persee,2
andromede,Undirected,idas,1
andromede,Undirected,ethiopiens,4
andromede,Undirected,triton,2
andromede,Undirected,nereides,3
andromede,Undirected,tritons,3
andromede,Undirected,choeur-des-tritons,1
andromede,Undirected,tous-ensemble,1
andromede,Undirected,nereide,1
andromede,Undirected,ethiopens,1
andromede,Undirected,un-des-ethiopiens,1
andromede,Undirected,le-choeur,1
andromede,Undirected,une-des-ethiopiennes,1
andromede,Undirected,sa-suite,2
andromede,Undirected,leurs-suites,1
phinee,Undirected,troupe-d-ethiopiens,1
phinee,Undirected,seconde-troupe-ethiopiens,1
phinee,Undirected,troisieme-troupe-d-ethiopiens,1
phinee,Undirected,idas,1
phinee,Undirected,ethiopiens,1
phinee,Undirected,triton,1
phinee,Undirected,nereides,1
phinee,Undirected,tritons,1
phinee,Undirected,sa-suite,2
phinee,Undirected,leurs-suites,1
phinee,Undirected,persee,1
le-choeur,Undirected,ethiopiens,1
le-choeur,Undirected,ethiopens,1
le-choeur,Undirected,un-des-ethiopiens,1
