Source,Type,Target,Weight
la-paix,Undirected,la-discorde,1
la-paix,Undirected,suite-de-la-paix,1
la-paix,Undirected,suite-de-la-discorde,1
la-paix,Undirected,la-victoire,1
la-paix,Undirected,suite-de-la-victoire,1
la-paix,Undirected,la-felicite,1
la-paix,Undirected,l-abondance,1
la-paix,Undirected,le-choeur,1
la-discorde,Undirected,suite-de-la-paix,1
la-discorde,Undirected,suite-de-la-discorde,1
la-discorde,Undirected,la-victoire,1
la-discorde,Undirected,suite-de-la-victoire,1
la-discorde,Undirected,la-felicite,1
la-discorde,Undirected,l-abondance,1
la-discorde,Undirected,le-choeur,1
suite-de-la-paix,Undirected,suite-de-la-discorde,1
suite-de-la-paix,Undirected,la-victoire,1
suite-de-la-paix,Undirected,suite-de-la-victoire,1
suite-de-la-paix,Undirected,la-felicite,1
suite-de-la-paix,Undirected,l-abondance,1
suite-de-la-paix,Undirected,le-choeur,1
suite-de-la-discorde,Undirected,la-victoire,1
suite-de-la-discorde,Undirected,suite-de-la-victoire,1
suite-de-la-discorde,Undirected,la-felicite,1
suite-de-la-discorde,Undirected,l-abondance,1
suite-de-la-discorde,Undirected,le-choeur,1
la-victoire,Undirected,suite-de-la-victoire,1
la-victoire,Undirected,la-felicite,1
la-victoire,Undirected,l-abondance,1
la-victoire,Undirected,le-choeur,1
suite-de-la-victoire,Undirected,la-felicite,1
suite-de-la-victoire,Undirected,l-abondance,1
suite-de-la-victoire,Undirected,le-choeur,1
la-felicite,Undirected,l-abondance,1
la-felicite,Undirected,le-choeur,1
l-abondance,Undirected,le-choeur,1
le-choeur,Undirected,proserpine,2
le-choeur,Undirected,nymphes,1
le-choeur,Undirected,pluton,2
le-choeur,Undirected,ceres,4
le-choeur,Undirected,deux-nymphes,1
le-choeur,Undirected,cyane,1
le-choeur,Undirected,les-trois-juges-des-enfers,1
le-choeur,Undirected,les-trois-furies,1
le-choeur,Undirected,une-des-furies,1
le-choeur,Undirected,les-furies,1
le-choeur,Undirected,lechoeur,1
ceres,Undirected,cyane,2
ceres,Undirected,crinise,1
ceres,Undirected,mercure,2
ceres,Undirected,arethuse,2
ceres,Undirected,deux-nymphes,1
ceres,Undirected,voix-infernales,1
ceres,Undirected,alphee,1
cyane,Undirected,crinise,1
cyane,Undirected,pluton,1
cyane,Undirected,proserpine,1
cyane,Undirected,ascalaphe,1
cyane,Undirected,divinites-infernales,1
crinise,Undirected,alphee,1
arethuse,Undirected,alphee,6
arethuse,Undirected,ascalaphe,2
arethuse,Undirected,pluton,1
arethuse,Undirected,proserpine,1
alphee,Undirected,ascalaphe,3
alphee,Undirected,proserpine,1
proserpine,Undirected,nymphes,1
proserpine,Undirected,pluton,3
proserpine,Undirected,ascalaphe,3
proserpine,Undirected,divinites-infernales,1
proserpine,Undirected,les-ombres,1
ascalaphe,Undirected,pluton,2
ascalaphe,Undirected,pluton-ascalaphe,1
ascalaphe,Undirected,divinites-infernales,1
ascalaphe,Undirected,les-ombres,1
pluton,Undirected,pluton-ascalaphe,1
pluton,Undirected,nymphes,1
pluton,Undirected,divinites-infernales,1
pluton,Undirected,les-choeurs,1
pluton,Undirected,choeur-des-ombres,1
pluton,Undirected,les-trois-juges-des-enfers,1
pluton,Undirected,les-trois-furies,1
pluton,Undirected,une-des-furies,1
pluton,Undirected,les-furies,1
pluton,Undirected,lechoeur,1
le-choeur-des-ombres,Undirected,deux-ombres,1
les-choeurs,Undirected,choeur-des-ombres,1
les-trois-juges-des-enfers,Undirected,les-trois-furies,1
les-trois-juges-des-enfers,Undirected,une-des-furies,1
les-trois-juges-des-enfers,Undirected,les-furies,1
les-trois-juges-des-enfers,Undirected,lechoeur,1
les-trois-furies,Undirected,une-des-furies,1
les-trois-furies,Undirected,les-furies,1
les-trois-furies,Undirected,lechoeur,1
une-des-furies,Undirected,les-furies,1
une-des-furies,Undirected,lechoeur,1
les-furies,Undirected,lechoeur,1
