Source,Type,Target,Weight
demogorgon,Undirected,le-choeur-des-fees,1
demogorgon,Undirected,la-principale-fee,1
demogorgon,Undirected,les-choeurs,1
demogorgon,Undirected,une-fee,1
le-choeur-des-fees,Undirected,la-principale-fee,1
le-choeur-des-fees,Undirected,les-choeurs,1
le-choeur-des-fees,Undirected,une-fee,1
le-choeur-des-fees,Undirected,logistille,2
le-choeur-des-fees,Undirected,le-choeur-des-ombres-des-heros,1
le-choeur-des-fees,Undirected,roland,1
le-choeur-des-fees,Undirected,troupe-d-ombres-d-anciens-heros,1
la-principale-fee,Undirected,les-choeurs,1
la-principale-fee,Undirected,une-fee,1
les-choeurs,Undirected,une-fee,1
les-choeurs,Undirected,choeur-des-amours,1
les-choeurs,Undirected,angelique,1
les-choeurs,Undirected,medor,1
les-choeurs,Undirected,le-petit-choeur,1
les-choeurs,Undirected,le-grand-choeur,1
les-choeurs,Undirected,la-gloire,1
les-choeurs,Undirected,logistille,1
angelique,Undirected,temire,6
angelique,Undirected,medor,5
angelique,Undirected,suivants,1
angelique,Undirected,choeur-des-amours,1
angelique,Undirected,le-petit-choeur,1
angelique,Undirected,le-grand-choeur,1
angelique,Undirected,roland,1
temire,Undirected,suivants,1
temire,Undirected,roland,1
temire,Undirected,medor,3
medor,Undirected,choeur-des-amours,1
medor,Undirected,le-petit-choeur,1
medor,Undirected,le-grand-choeur,1
ziliante,Undirected,le-choeur-des-insulaires,1
ziliante,Undirected,deux-insulaires,1
le-choeur-des-insulaires,Undirected,deux-insulaires,1
roland,Undirected,astolfe,1
roland,Undirected,coridon,2
roland,Undirected,belise,2
roland,Undirected,tersandre,1
roland,Undirected,le-choeur,1
roland,Undirected,angeliquee,1
roland,Undirected,logistille,1
roland,Undirected,le-choeur-des-ombres-des-heros,1
roland,Undirected,troupe-d-ombres-d-anciens-heros,1
choeur-des-amours,Undirected,le-petit-choeur,1
choeur-des-amours,Undirected,le-grand-choeur,1
le-petit-choeur,Undirected,le-grand-choeur,1
le-choeur-de-catay,Undirected,une-des-suivantes-d-angelique,1
le-choeur-de-catay,Undirected,un-des-sujets-d-angelique,1
une-des-suivantes-d-angelique,Undirected,un-des-sujets-d-angelique,1
astolfe,Undirected,logistille,1
le-choeur,Undirected,coridon,2
le-choeur,Undirected,belise,2
le-choeur,Undirected,tersandre,1
le-choeur,Undirected,angeliquee,1
coridon,Undirected,belise,3
coridon,Undirected,tersandre,1
coridon,Undirected,angeliquee,1
belise,Undirected,tersandre,1
belise,Undirected,angeliquee,1
tersandre,Undirected,angeliquee,1
logistille,Undirected,le-choeur-des-ombres-des-heros,1
logistille,Undirected,troupe-d-ombres-d-anciens-heros,1
logistille,Undirected,la-gloire,1
le-choeur-des-ombres-des-heros,Undirected,troupe-d-ombres-d-anciens-heros,1
