Source,Type,Target,Weight
barsine,Undirected,cephise,3
barsine,Undirected,seleucus,5
barsine,Undirected,stratonice,2
barsine,Undirected,zabas,1
barsine,Undirected,philipe,1
barsine,Undirected,antiochus,1
seleucus,Undirected,policrate,3
seleucus,Undirected,antiochus,4
seleucus,Undirected,stratonice,4
seleucus,Undirected,zabas,1
seleucus,Undirected,philipe,1
policrate,Undirected,stratonice,1
antiochus,Undirected,timante,5
antiochus,Undirected,stratonice,3
antiochus,Undirected,zenone,1
antiochus,Undirected,zabas,1
antiochus,Undirected,philipe,1
timante,Undirected,stratonice,1
timante,Undirected,zenone,1
timante,Undirected,zabas,1
philipe,Undirected,stratonice,2
stratonice,Undirected,zenone,5
stratonice,Undirected,zabas,1
zenone,Undirected,zabas,1
