Source,Type,Target,Weight
le-vicomte,Undirected,mezzetin,2
le-vicomte,Undirected,le-laqauis,1
le-vicomte,Undirected,la-veuve,1
le-vicomte,Undirected,le-fiacre,1
le-vicomte,Undirected,colombine,3
le-vicomte,Undirected,pasquariel,1
mezzetin,Undirected,brocantin,2
mezzetin,Undirected,colombine,1
mezzetin,Undirected,pierrot,1
mezzetin,Undirected,arlequin,2
mezzetin,Undirected,monsieur-bassinet,1
mezzetin,Undirected,isabelle,1
isabelle,Undirected,colombine,3
isabelle,Undirected,pierrot,2
isabelle,Undirected,brocantin,2
isabelle,Undirected,monsieur-bassinet,2
isabelle,Undirected,arlequin,1
colombine,Undirected,pierrot,5
colombine,Undirected,brocantin,3
colombine,Undirected,le-fiacre,1
colombine,Undirected,arlequin,1
pierrot,Undirected,brocantin,4
pierrot,Undirected,arlequin,1
brocantin,Undirected,arlequin,2
brocantin,Undirected,monsieur-bassinet,1
arlequin,Undirected,le-docteur,1
arlequin,Undirected,monsieur-bassinet,1
