Source,Type,Target,Weight
arlequin,Undirected,pierrot,2
arlequin,Undirected,trafiquet,2
arlequin,Undirected,colombine,6
arlequin,Undirected,mezzetin,2
arlequin,Undirected,premiere-bohemienne,1
arlequin,Undirected,seconde-bohemienne,1
arlequin,Undirected,arelquin,1
arlequin,Undirected,madame-pindaret,1
arlequin,Undirected,margot,1
arlequin,Undirected,le-choeur,1
colombine,Undirected,bagatelle,2
colombine,Undirected,pierrot,4
colombine,Undirected,isabelle,3
colombine,Undirected,octave,1
colombine,Undirected,mezzetin,2
colombine,Undirected,nigaudin,3
colombine,Undirected,le-capitaine,2
colombine,Undirected,le-sergent,1
colombine,Undirected,trafiquet,4
colombine,Undirected,le-laquais,1
colombine,Undirected,pasquariel,1
colombine,Undirected,madame-pindaret,3
colombine,Undirected,arelquin,1
colombine,Undirected,margot,1
bagatelle,Undirected,pierrot,1
pierrot,Undirected,trafiquet,7
isabelle,Undirected,octave,1
isabelle,Undirected,mezzetin,1
octave,Undirected,mezzetin,1
mezzetin,Undirected,pasquariel,1
mezzetin,Undirected,le-choeur,1
le-laquais,Undirected,madame-pindaret,1
nigaudin,Undirected,le-capitaine,3
nigaudin,Undirected,le-sergent,1
le-capitaine,Undirected,le-sergent,1
premiere-bohemienne,Undirected,seconde-bohemienne,1
madame-pindaret,Undirected,arelquin,1
