Source,Type,Target,Weight
arlequin,Undirected,mercure,1
arlequin,Undirected,jupiter,1
arlequin,Undirected,mezzetin,4
arlequin,Undirected,sotinet,2
arlequin,Undirected,colombine,2
arlequin,Undirected,isabelle,1
arlequin,Undirected,braillardet,1
arlequin,Undirected,cornichon,1
arlequin,Undirected,dieu-de-l-hymen,1
mercure,Undirected,jupiter,1
aurelio,Undirected,mezzetin,1
mezzetin,Undirected,sotinet,1
sotinet,Undirected,pierrot,2
sotinet,Undirected,isabelle,1
sotinet,Undirected,colombine,2
sotinet,Undirected,braillardet,1
sotinet,Undirected,cornichon,1
sotinet,Undirected,dieu-de-l-hymen,1
isabelle,Undirected,colombine,10
isabelle,Undirected,un-laquais,1
isabelle,Undirected,trotenville,2
isabelle,Undirected,amilare,1
isabelle,Undirected,le-chevalier,5
isabelle,Undirected,le-laquais,3
colombine,Undirected,un-laquais,1
colombine,Undirected,trotenville,2
colombine,Undirected,amilare,1
colombine,Undirected,le-chevalier,3
colombine,Undirected,braillardet,1
colombine,Undirected,cornichon,1
colombine,Undirected,dieu-de-l-hymen,1
trotenville,Undirected,amilare,1
le-chevalier,Undirected,le-laquais,2
braillardet,Undirected,cornichon,1
braillardet,Undirected,dieu-de-l-hymen,1
cornichon,Undirected,dieu-de-l-hymen,1
