Source,Type,Target,Weight
hector,Undirected,nerine,6
hector,Undirected,valere,17
hector,Undirected,geronte,7
hector,Undirected,madame-la-ressource,4
hector,Undirected,dorante,4
hector,Undirected,madame-adam,1
hector,Undirected,monsieur-galonier,1
hector,Undirected,le-marquis,4
hector,Undirected,angelique,4
nerine,Undirected,angelique,16
nerine,Undirected,la-comtesse,6
nerine,Undirected,le-marquis,2
nerine,Undirected,valere,3
nerine,Undirected,dorante,9
nerine,Undirected,geronte,3
nerine,Undirected,madame-la-ressource,5
valere,Undirected,geronte,2
valere,Undirected,la-comtesse,1
valere,Undirected,angelique,3
valere,Undirected,madame-la-ressource,2
valere,Undirected,madame-adam,1
valere,Undirected,monsieur-galonier,1
valere,Undirected,le-marquis,4
valere,Undirected,dorante,1
geronte,Undirected,toutabas,1
geronte,Undirected,dorante,2
geronte,Undirected,angelique,1
angelique,Undirected,la-comtesse,6
angelique,Undirected,le-marquis,2
angelique,Undirected,dorante,7
angelique,Undirected,madame-la-ressource,6
la-comtesse,Undirected,laquais,1
la-comtesse,Undirected,le-marquis,4
la-comtesse,Undirected,dorante,2
la-comtesse,Undirected,madame-la-ressource,2
le-marquis,Undirected,laquais-1er,1
le-marquis,Undirected,laquais-2nd,1
le-marquis,Undirected,laquais-3eme,1
le-marquis,Undirected,madame-la-ressource,1
madame-la-ressource,Undirected,dorante,5
madame-adam,Undirected,monsieur-galonier,1
