Source,Type,Target,Weight
madame-bertrand,Undirected,lisette,1
madame-bertrand,Undirected,merlin,3
madame-bertrand,Undirected,geronte,4
madame-bertrand,Undirected,le-marquis,2
madame-bertrand,Undirected,clitandre,1
lisette,Undirected,merlin,3
lisette,Undirected,clitandre,3
lisette,Undirected,lucile,2
lisette,Undirected,cidalise,2
lisette,Undirected,le-marquis,1
merlin,Undirected,clitandre,4
merlin,Undirected,lucile,1
merlin,Undirected,cidalise,1
merlin,Undirected,le-marquis,4
merlin,Undirected,jaquinet,1
merlin,Undirected,geronte,8
merlin,Undirected,monsieur-andre,1
clitandre,Undirected,lucile,2
clitandre,Undirected,cidalise,2
clitandre,Undirected,le-marquis,3
clitandre,Undirected,geronte,1
lucile,Undirected,cidalise,2
lucile,Undirected,le-marquis,1
cidalise,Undirected,le-marquis,1
le-marquis,Undirected,geronte,3
geronte,Undirected,monsieur-andre,1
