Source,Type,Target,Weight
premier-laquais,Undirected,second-laquais,1
premier-laquais,Undirected,le-laquais,1
second-laquais,Undirected,le-laquais,1
le-laquais,Undirected,lidamon,2
le-laquais,Undirected,palamede,2
le-laquais,Undirected,celante,2
le-laquais,Undirected,belise,2
le-laquais,Undirected,chrysolite,1
palamede,Undirected,lidamon,4
palamede,Undirected,celante,3
palamede,Undirected,belise,3
palamede,Undirected,chrysolite,2
palamede,Undirected,lysandre,1
lidamon,Undirected,celante,3
lidamon,Undirected,belise,3
lidamon,Undirected,chrysolite,2
lidamon,Undirected,lysandre,1
celante,Undirected,belise,3
celante,Undirected,chrysolite,2
celante,Undirected,lysandre,1
belise,Undirected,chrysolite,2
belise,Undirected,lysandre,1
chrysolite,Undirected,lysandre,1
