Source,Type,Target,Weight
eglator,Undirected,phedime,2
eglator,Undirected,enarus,4
eglator,Undirected,norate,3
eglator,Undirected,un-senateur,1
eglator,Undirected,eurymene,1
eglator,Undirected,aretaphile,1
phedime,Undirected,enarus,1
enarus,Undirected,aretaphile,8
enarus,Undirected,oxiane,3
enarus,Undirected,norate,3
enarus,Undirected,eurymene,3
aretaphile,Undirected,oxiane,10
aretaphile,Undirected,norate,7
aretaphile,Undirected,eurymene,2
oxiane,Undirected,norate,3
oxiane,Undirected,eurymene,2
norate,Undirected,un-senateur,1
norate,Undirected,eurymene,2
