Source,Type,Target,Weight
amelie,Undirected,dorise,2
amelie,Undirected,dionys,11
amelie,Undirected,eraste,4
amelie,Undirected,le-valet,3
amelie,Undirected,erante,5
amelie,Undirected,lisidan,4
amelie,Undirected,emile,2
amelie,Undirected,cloris,6
dorise,Undirected,dionys,1
dionys,Undirected,eraste,4
dionys,Undirected,lisidan,11
dionys,Undirected,emile,3
dionys,Undirected,le-pere,1
dionys,Undirected,erante,8
dionys,Undirected,le-valet,2
dionys,Undirected,cloris,4
eraste,Undirected,le-pere,1
eraste,Undirected,lisidan,2
eraste,Undirected,cloris,2
eraste,Undirected,emile,1
eraste,Undirected,le-valet,1
eraste,Undirected,erante,1
emile,Undirected,le-valet,3
emile,Undirected,lisidan,3
emile,Undirected,erante,2
emile,Undirected,cloris,1
le-valet,Undirected,lisidan,3
le-valet,Undirected,erante,2
le-valet,Undirected,cloris,1
lisidan,Undirected,le-pere,1
lisidan,Undirected,erante,8
lisidan,Undirected,cloris,1
le-pere,Undirected,la-nourrice,1
erante,Undirected,cloris,2
