Source,Type,Target,Weight
cleagenor,Undirected,theandre,3
cleagenor,Undirected,doristee,2
cleagenor,Undirected,ozanor,1
cleagenor,Undirected,premier-archer,1
cleagenor,Undirected,deuxieme-archer,1
cleagenor,Undirected,conseiller,1
cleagenor,Undirected,dorante,1
cleagenor,Undirected,diane,1
theandre,Undirected,suite-de-theandre,1
theandre,Undirected,philemond,7
theandre,Undirected,premier-voleur,1
theandre,Undirected,deuxieme-voleur,1
theandre,Undirected,diane,3
theandre,Undirected,dorante,7
theandre,Undirected,philacte,3
theandre,Undirected,doristee,1
doristee,Undirected,ozanor,1
doristee,Undirected,premier-voleur,1
doristee,Undirected,deuxieme-voleur,1
doristee,Undirected,diane,1
premier-voleur,Undirected,deuxieme-voleur,3
premier-voleur,Undirected,philemond,2
premier-voleur,Undirected,suite-de-theandre,1
deuxieme-voleur,Undirected,philemond,2
deuxieme-voleur,Undirected,suite-de-theandre,1
premier-archer,Undirected,deuxieme-archer,1
philemond,Undirected,suite-de-theandre,1
philemond,Undirected,diane,4
philemond,Undirected,dorante,6
philemond,Undirected,philacte,1
dorante,Undirected,diane,6
dorante,Undirected,philacte,3
diane,Undirected,philacte,1
