Source,Type,Target,Weight
antoine,Undirected,lindamor,2
antoine,Undirected,theodose,4
antoine,Undirected,leocadie,3
antoine,Undirected,alcionne,2
antoine,Undirected,i-voleur,1
antoine,Undirected,alexandre,2
antoine,Undirected,don-louis,1
antoine,Undirected,don-henri,2
antoine,Undirected,don-sanche,2
antoine,Undirected,premier-archer,1
lindamor,Undirected,theodose,1
lindamor,Undirected,leocadie,1
lindamor,Undirected,alcionne,1
lindamor,Undirected,i-voleur,1
theodose,Undirected,alcionne,4
theodose,Undirected,alexandre,8
theodose,Undirected,dorilas,2
theodose,Undirected,filemond,2
theodose,Undirected,leocadie,5
theodose,Undirected,don-louis,1
theodose,Undirected,don-henri,2
theodose,Undirected,don-sanche,2
theodose,Undirected,premier-archer,1
leocadie,Undirected,don-sanche,2
leocadie,Undirected,alexandre,5
leocadie,Undirected,filemond,1
leocadie,Undirected,alcionne,4
leocadie,Undirected,i-voleur,1
leocadie,Undirected,premier-archer,2
leocadie,Undirected,second-archer,1
leocadie,Undirected,toisieme-archer,1
leocadie,Undirected,don-henri,1
don-sanche,Undirected,don-henri,3
don-sanche,Undirected,don-louis,2
don-sanche,Undirected,alexandre,1
don-sanche,Undirected,premier-archer,1
alcionne,Undirected,dorilas,5
alcionne,Undirected,alexandre,5
alcionne,Undirected,i-voleur,1
dorilas,Undirected,alexandre,3
alexandre,Undirected,filemond,2
alexandre,Undirected,don-henri,1
alexandre,Undirected,premier-archer,1
premier-archer,Undirected,second-archer,1
premier-archer,Undirected,toisieme-archer,1
premier-archer,Undirected,don-henri,1
second-archer,Undirected,toisieme-archer,1
don-louis,Undirected,don-henri,2
