Source,Type,Target,Weight
agamemnon,Undirected,le-valet-de-chambre,2
agamemnon,Undirected,amyntas,4
agamemnon,Undirected,oronte,1
agamemnon,Undirected,menelas,4
agamemnon,Undirected,ulysse,3
agamemnon,Undirected,le-messager,1
agamemnon,Undirected,clytemnestre,5
agamemnon,Undirected,iphigenie,5
agamemnon,Undirected,ardelie,2
agamemnon,Undirected,calchas,1
agamemnon,Undirected,talthibie,1
agamemnon,Undirected,achille,1
agamemnon,Undirected,calcas,1
agamemnon,Undirected,diane,1
amyntas,Undirected,le-valet-de-chambre,2
amyntas,Undirected,menelas,2
amyntas,Undirected,clytemnestre,1
amyntas,Undirected,achille,1
menelas,Undirected,ulysse,2
menelas,Undirected,le-messager,1
menelas,Undirected,calchas,1
menelas,Undirected,achille,1
menelas,Undirected,iphigenie,1
menelas,Undirected,clytemnestre,1
menelas,Undirected,ardelie,1
menelas,Undirected,calcas,1
menelas,Undirected,diane,1
ulysse,Undirected,le-messager,1
ulysse,Undirected,iphigenie,2
ulysse,Undirected,clytemnestre,2
ulysse,Undirected,talthibie,1
ulysse,Undirected,achille,1
ulysse,Undirected,ardelie,1
ulysse,Undirected,calcas,1
ulysse,Undirected,diane,1
clytemnestre,Undirected,iphigenie,8
clytemnestre,Undirected,achille,5
clytemnestre,Undirected,ardelie,2
clytemnestre,Undirected,talthibie,1
clytemnestre,Undirected,calcas,1
clytemnestre,Undirected,diane,1
iphigenie,Undirected,ardelie,3
iphigenie,Undirected,achille,3
iphigenie,Undirected,talthibie,1
iphigenie,Undirected,calcas,1
iphigenie,Undirected,diane,1
achille,Undirected,ardelie,1
achille,Undirected,calcas,1
achille,Undirected,diane,1
ardelie,Undirected,calcas,1
ardelie,Undirected,diane,1
calcas,Undirected,diane,1
