Source,Type,Target,Weight
lelie,Undirected,ergaste,10
lelie,Undirected,eraste,2
lelie,Undirected,aurelie,3
lelie,Undirected,anselme,4
lelie,Undirected,horace,1
lelie,Undirected,constance,6
lelie,Undirected,eroxene,1
lelie,Undirected,lydie,1
ergaste,Undirected,eraste,2
ergaste,Undirected,aurelie,3
ergaste,Undirected,anselme,4
ergaste,Undirected,horace,1
ergaste,Undirected,constance,4
ergaste,Undirected,eroxene,1
ergaste,Undirected,lydie,1
lydie,Undirected,eraste,5
lydie,Undirected,eroxene,3
lydie,Undirected,anselme,4
lydie,Undirected,orgie,2
lydie,Undirected,constance,3
lydie,Undirected,aurelie,3
eraste,Undirected,anselme,2
eraste,Undirected,eroxene,2
eraste,Undirected,constance,1
eraste,Undirected,aurelie,1
aurelie,Undirected,anselme,4
aurelie,Undirected,geronte,1
aurelie,Undirected,horace,1
aurelie,Undirected,constance,4
aurelie,Undirected,eroxene,2
aurelie,Undirected,orgie,1
anselme,Undirected,geronte,3
anselme,Undirected,horace,3
anselme,Undirected,constance,4
anselme,Undirected,orgie,2
anselme,Undirected,eroxene,2
eroxene,Undirected,constance,2
eroxene,Undirected,orgie,1
geronte,Undirected,horace,2
constance,Undirected,orgie,1
