Source,Type,Target,Weight
pan,Undirected,le-choeur,1
pan,Undirected,la-paix,1
pan,Undirected,premier-berger,1
pan,Undirected,second-berger,1
le-choeur,Undirected,la-paix,1
le-choeur,Undirected,premier-berger,1
le-choeur,Undirected,second-berger,1
le-choeur,Undirected,jason,2
le-choeur,Undirected,le-roi,1
le-choeur,Undirected,medee,1
le-choeur,Undirected,suivantes-de-medee,1
le-choeur,Undirected,une-nereide,1
le-choeur,Undirected,hypsipile,1
le-choeur,Undirected,un-plaisir,1
le-choeur,Undirected,un-autre-plaisir,1
le-choeur,Undirected,suivante-de-la-sibylle,1
le-choeur,Undirected,suivantes,1
le-choeur,Undirected,sibylle,1
le-choeur,Undirected,choeur,1
le-choeur,Undirected,orphee,1
la-paix,Undirected,premier-berger,1
la-paix,Undirected,second-berger,1
premier-berger,Undirected,second-berger,1
orphee,Undirected,jason,5
orphee,Undirected,hypsipile,2
orphee,Undirected,medee,2
jason,Undirected,medee,6
jason,Undirected,le-roi,2
jason,Undirected,suivantes-de-medee,1
jason,Undirected,venus,1
jason,Undirected,hypsipile,2
medee,Undirected,combattants,1
medee,Undirected,le-roi,3
medee,Undirected,suivantes-de-medee,1
medee,Undirected,hypsipile,3
medee,Undirected,la-sibylle,1
le-roi,Undirected,suivantes-de-medee,1
hypsipile,Undirected,une-nereide,1
un-plaisir,Undirected,un-autre-plaisir,1
suivante-de-la-sibylle,Undirected,suivantes,1
suivante-de-la-sibylle,Undirected,sibylle,1
suivante-de-la-sibylle,Undirected,choeur,1
suivantes,Undirected,sibylle,1
suivantes,Undirected,choeur,1
sibylle,Undirected,choeur,1
